Country,Sail No,Skipper,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Netto,Place
AUS,9074,Earle Alexander,Josh Mortensen,Earle Grey,[3],1,1,1,2,8,5,1
AUS,8781,Chris Gregg,Ian Gregg,Captain Crispy,1,2,[DNS 5],3,1,12,7,2
AUS,9071,Peter Croft,Lindsay Gilbert,Sweaty Betty,[4],3,2,2,3,14,10,3
AUS,8738,John Black,Daniel Ware,A Salt Weapon,2,4,[DNF 5],4,DNF 5,25,15,4
