Country,Sail Number,Helm,Crew,CLUB/ORG,R1,R2,R3,R4,R5,R6,R7,R8,Boat Name,TOTAL,NET,Place
AUS,9191,Malcolm Higgins,Angus Higgins,BSYC,2,4,[8],2,1,6,3,3,WTF,29,21,1
AUS,9254,Mark Stowell,Jake Bessen,FSC,6,[9],1,1,9,1,7,5,Restless Jet,39,30,2
AUS,9134,Michael Quirk,Nick Johnson (Camel),Manly,9,1,[13],10,2,2,5,2,ROBBO,44,31,3
AUS,8759,Tom Stivano,Simon Burt,LMYC,13,3,3,7,[15],4,2,8,None,55,40,4
AUS,8760,Daniel Keys,Daryl Roos,JBSC,4,8,4,3,4,8,DNF - 19,[DNF - 21],Intergalactic,71,50,5
AUS,8817,Michael Duffield,Douglas Hagan,Fremantle Sailing Club,10,11,2,5,8,[DNF - 19],9,6,Tensing Norgay,70,51,6
AUS,8957,Matt Bowden,Josh Mortensen,RQYS / DPSS,5,2,14,[18],10,5,8,9,More Noodles,71,53,7
AUS,9265,Carter Jackson,Will Macdonald,Manly Yacht Club,11,6,[24],13,14,9,1,7,Farm,85,61,8
AUS,8781,Ian Gregg,Chris Gregg,Darling Point Sailing Squadron (DPSS),7,5,9,[DNF - 29],22,3,6,10,None,91,62,9
AUS,8794,Michael Babbage,James Mcallister,NCYC,1,7,16,14,6,DNF - 19,[DNC - 31],1,Alvin Rides Again,95,64,10
AUS,9136,Cullen Hughes,,BSC,16,[22],5,6,5,13,16,20,Why Not,103,81,11
AUS,9018,Jesse Mitton,Alex Blacker,ASC,12,10,[22],12,18,15,4,11,The Tractor ,104,82,12
AUS,8644,Ayden Menzies,Adam Wyatt,TASC,8,20,6,11,3,DNF - 19,DNF - 19,[DNF - 21],Tachometer needle,107,86,13
AUS,9049,Zoe Thomson,Alexander Thomson,FSC/RFBYC,20,13,7,4,7,16,DNF - 19,[DNF - 21],Manta,107,86,14
AUS,9205,Edward Cox,Henry Davison,RYCT,18,17,[21],8,11,7,10,15,None,107,86,15
AUS,8809,Justin Carey,Chris Carey,DPSS,3,15,10,9,13,DNF - 19,DNF - 19,[DNF - 21],SCarey 5OH,109,88,16
AUS,9167,Nigel Lott,Rilke de Vos,DPSS,19,12,11,[23],12,14,DNF - 19,13,Soaked,123,100,17
AUS,8893,Ryan Menzies,Lucas Geddes,RMYC Toronto ,[DNF - 27],19,19,20,19,12,14,4,Yeah Buddy,134,107,18
AUS,8840,Michael Gallagher,Matt Brooman,CYCA,[21],16,18,19,16,11,12,16,Manalive,129,108,19
AUS,8589,Brooke Jones,Brian Jones,HSC,15,14,17,[25],24,10,15,14,Ross Island ,134,109,20
AUS,9213,Ian Burford,David Christie,Henley Sailing Club,14,18,15,[24],23,17,11,18,Whisper,140,116,21
AUS,9115,Steven Howden,,Pmyc,22,[23],12,17,17,DNF - 19,17,17,Dance Don’t Walk,144,121,22
AUS,8811,Matthew Hansen,Shane Attwell,Fremantle sailing club,17,[21],20,21,21,DNF - 19,13,12,Crimson Autograph,144,123,23
AUS,9047,Derek Milligan,Hermann Wollenbecker,Pksc,26,[DNC - 31],DNC - 31,16,20,18,18,19,Goon Boat,179,148,24
AUS,8637,Sam Cronin,Kevin Whitbread,PORT KEMBLA SAILING CLUB,23,24,25,15,26,[DNC - 31],DNF - 19,DNF - 21,BLOWFLIES,184,153,25
AUS,8638,Jemima Carey,Brett Buckley,DPSS,24,26,23,27,25,[DNC - 31],DNF - 19,DNF - 21,Uncle Earle,196,165,26
AUS,8922,Michael Lawrence,Alex Morton,Williamstown Sailing Club,DNF - 27,[DNF - 28],28,28,28,DNF - 19,DNF - 19,DNF - 21,Twentyone,198,170,27
AUS,9037,Peter Croft,Lindsay Gilbert,Sandgate Yacht Club,25,25,27,26,27,[DNC - 31],DNF - 19,DNF - 21,Sweaty Betty,201,170,28
AUS,8682,Richard Hyde,Matthew Hyde,DPSS,[DNC - 31],27,26,22,29,DNC - 31,DNF - 19,DNF - 21,Go to Red,206,175,29
AUS,9074,Earle Alexander,Hermann Wollenbecker,Darling Point SS,[DNC - 31],DNC - 31,DNC - 31,DNC - 31,DNC - 31,DNC - 31,DNC - 31,DNC - 31,Earle Grey,248,217,30
