Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Boat Name,Points Total,Points Netto,Place
RSA,9063,James Largier,Richard Hutton-Squire,,4,1,,5,5,1
RSA,7608,Rudi Mcneil,Luke Wagner,,1,4,,5,5,2
RSA,9094,Peter Funke,Thomas Funke,,3,2,,5,5,3
RSA,8445,Kyle Klaas,Robert von Gruenewaldt,,2,3,,5,5,4
RSA,8707,Sibu Sizantu,Marlon Jones,,5,5,,10,10,5
RSA,8789,Jan Zuiderman,Warwick Ham,,6,8,,14,14,6
RSA,8675,Campbell Alexander,Jeremy Kriek,,8,7,,15,15,7
RSA,8948,Drew Scott,Tayo Scott,,14 DNF,6,,20,20,8
RSA,8587,Andrew Arthut,,,9,11,,20,20,9
RSA,17608*,Denver Kruger,John Alan Harding,,10,10,,20,20,10
RSA,8406,Aaron Biagio,Mark Biagio,,7,14 DNF,,21,21,11
RSA,7722,Dudley Thomson,Allan Lewthwaite,,14 NSC,9,,23,23,12
RSA,9016,Arend Van Wamelen,David Nieman,,14 DNF,14 DNF,,28,28,13
