Nation,Boat No,Helm,Crew,class,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
USA,8715,Ethan Bixby,Erik Boothe,Male,[12],2,1,1,2,1,7,1
GER,8875,Jens Findel,Johannes Tellen,Male,1,1,3,2,3,[11],10,2
USA,8762,Howard Hamlin,Andrew Zinn,Male,5,9,[10],6,1,2,23,3
DEN,8964,Jan Saugmann,Morten Ramsbæk,Male,4,15,4,4,5,[31],32,4
GBR,8960,Ian Pinnell,Carl Gibbon,Male,2,3,[15],12,11,5,33,5
USA,8830,Ramsay Key,Andrew Buttner,Male,8,7,8,[15],4,7,34,6
DEN,8826,Tom Bøjland,Anders Friis,Male,13,4,9,7,[17],8,41,7
GER,8927,Martin Görge,Hans-Heinrich Rix,Male,11,(dsq),11,3,14,6,45,8
GER,8693,Michael Daisenberger,Florian Lautenschläger,Male/under 25,(DNS),8,2,16,8,12,46,9
IRL,8961,Ewen Barry,Charles Dwyer,Male,9,13,[25],14,10,4,50,10
AUS,8817,Nick Davis,Michael Duffield,Male,[17],10,16,13,13,3,55,11
USA,8937,Kevin Taugher,Jon Bell,Male,10,[29],5,9,19,16,59,12
GER,8720,Lennart Tasche,Frederik Tasche,Male/under 25,6,18,7,26,6,[32],63,13
USA,7875,Jeff Miller,Mike Smith,Male,3,12,12,18,[24],22,67,14
GER,8651,Christian Kellner,Martin Schöler,Male,18,14,13,[19],16,10,71,15
GBR,8935,Russell Short,Andrew Short,Male,[30],16,22,10,9,17,74,16
AUS,8801,Peter Chappell,Sam Gill,Male,[34],19,30,5,18,14,86,17
USA,8883,Tyler Moore,Jesse Falsone,Male,(DNS),17,27,11,12,21,88,18
AUS,8922,Bill Cuneo,John Warlow,Male,33,[38],20,8,7,27,95,19
AUS,8920,Michael Quirk,Simon Reffold,Male,[26],21,23,22,25,18,109,20
DEN,8828,Jon Andersen,Lasse Andersen,Male,16,31,18,27,30,[33],122,21
GBR,8905,Stuart Turnbull,Jason Lunn,Male,24,25,17,[45],36,20,122,22
AUS,8781,Earle Alexander,Ian Gregg,Male,23,27,26,24,[29],24,124,23
USA,8831,Pierre Jeangirard,Paul von Grey,Male,21,28,28,[46],23,26,126,24
GER,8672,Karsten Contag,Guido von Walter,Male,14,23,14,(DNS),DNS,9,132,25
FIN,8057,Kaj Lindfors,Johan Halonen,Male,15,36,19,[38],32,36,138,26
FIN,8768,Jukka Nieminen,Kari Lehtonen,Male,37,5,42,37,[48],23,144,27
FIN,8924,Raimo Raita,Juha Nurmela,Male,40,26,24,29,37,[43],156,28
