Sail,No.,Skipper,Crew,,St. Raphael,Riva del Garda,Travemünde woche,E.C. Finals - Palermo,Total,Final,Place
GER,8875,Findel Jens,Tellen Johannes,,2,1,1,2*,6,4,1
GBR,8960,Pinnell Ian,Gibbon Carl,,1,7,131 DNS*,5,144,13,2
GER,8927,Goerge Martin,Rix Heini,,131 DNS*,5,3,8,147,16,3
DEN,8826,Bojland Tom,Friis Anders,,8,131 DNS*,8,7,154,23,4
GER,8651,Kellner Christian,Schoeler Martin,,6,4,131 DNS*,15,156,25,5
GER,8693,Daisenberger Michael,Lautenschläger Florian,,7,20,131 DNS*,9,167,36,6
SUI,8543,Bart Cedric,Marti Ueli,,9,11,131 DNS*,39,190,59,7
GER,8672,Contag Karsten,Von Walter Guido,,17,40,131 DNS*,25,213,82,8
ITA,8743,Giraldi Marco,Corbellini Paolo,,38,42,22,42,144,102,9
GBR,8955,Lake Simon,Iliffe Ben,,29,33,131 DNS*,44,237,106,10
ITA,8127,Gambardella Marco,Candela Roberto,,27,47,131 DNS*,40,245,114,11
FRA,8902,Philippe Boite,Toupet Fabrice,,3,3,131 DNS*,131 DNS,268,137,12
GER,8966,Böhm Stefan,Roos Gerald,,131 DNS*,6,6,131 DNS,274,143,13
SUI,8954,Stauffer Florian,Jacot Philippe,,5,8,131 DNS*,131 DNS,275,144,14
FRA,8847,Boiry Michel,Gougeon Matthieu,,46,52,131 DNS*,48,277,146,15
DEN,8964,Saugmann Jan,Ramsbæk Morten,,131 DNS*,12,131 DNS,4,278,147,16
GBR,8694,Mathart Helmsman,Scutcher Terry,,10,9,131 DNS*,131 DNS,281,150,17
AUS,8920,Quirk Michael,Reffold Simon,,131 DNS*,131 DNS,5,20,287,156,18
GER,8777,Schollmayer Stefan,Sanguino Frisco,,11,22,15,131 DNS*,179,157,19
DEN,8828,Andersen Jon,Andreasen Lasse,,131 DNS*,131 DNS,9,21,292,161,20
SUI,8569,Betschen Rene,Lionel Hollinger,,18,14,131 DNS*,131 DNS,294,163,21
GBR,8907,Berry Jim,Barnes David,,52,54,131 DNS*,59,296,165,22
GER,8463,Achterberg Frieder,Lanatowitz Arne,,131 DNS*,21,14,131 DNS,297,166,23
GER,8751,Unkelbach Franziska,Stenger Angela,,25,36,12,131 DNS*,204,168,24
GER,8958,Koechlin Stefan,Priegann Axel,,35,131 DNS*,4,131 DNS,301,170,25
FRA,8900,Gubri Serge,Thibault Di Pede,,16,26,131 DNS*,131 DNS,304,173,26
GER,8874,Dasenbrook Norbert,Meier Sven,,131 DNS*,30,13,131 DNS,305,174,27
GER,8928,Schultz Hendrik,Oberländ Uter,,31,15,131 DNS*,131 DNS,308,177,28
GBR,8905,Turnbull Stuart,Lunn Jason,,131 DNS*,27,131 DNS,22,311,180,29
BEL,8773,Van Laer Peter,De Froidmont Eric,,13,38,131 DNS*,131 DNS,313,182,30
FRA,8270,Gachet Claude,Fort Florian,,19,131 DNS*,131 DNS,35,316,185,31
GER,8929,Waldheim Juergen,Maal Martin,,34,131 DNS*,20,131 DNS,316,185,32
GER,8563,Schmidt Stefan,Lücke Jens,,40,131 DNS*,17,131 DNS,319,188,33
GER,8418,Sell Jan,Gewinn Wiebke,,43,131 DNS*,19,131 DNS,324,193,34
GER,8599,Duwe Florian,Helms Marc,,131 DNS*,131 DNS,11,53,326,195,35
GER,8513,Domjes Sven,Happich Andreas,,47,131 DNS*,23,131 DNS,332,201,36
POL,8358,Jozefowski Marcin,Barankiewicz Jacek,,131 DNS*,131 DNS,28,43,333,202,37
GER,8775,Holzapfel Alexander,Engel Carsten,,23,131 DNS*,131 DNS,50,335,204,38
ITA,8916,Ciferri Enrico,Natali Gabriele,,131 DNS*,18,131 DNS,56,336,205,39
FRA,8402,Bleuez Loïc,Roucayrol Frédéric,,30,46,131 DNS*,131 DNS,338,207,40
BEL,8880,De Pauw Geert,Jourquin Koen,,33,44,131 DNS*,131 DNS,339,208,41
GER,8730,Wilts Enno,Gerolfs Peter,,131 DNS*,131 DNS,24,61,347,216,42
