Country,Boat,Helmsman,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Place
DEN,7956,Jorgen Schonherr,Anders Kaempe,,2,9,1,3,3,19,54.4,29.4,1
FRA,8302,Phillipe Boite,Jean Muzellec,,6,2,10,34,2,1,73.7,33.7,2
SWE,8211,Krister Bergstrom,Olle Wenrup,,1,10,11,10,1,3,54.7,37.7,3
USA,7201,Howard Hamlin,Steve Rosenberg,,4,7,22,1,5,5,69,41,4
USA,7093,Ethan Bixby,Cam Lewis,,3,8,3,2,11,DNF,128.4,45.4,5
AUS,8279,Terry Kyrwood,Charles Spence,,5,DNF,6,5,4,10,138.7,55.7,6
USA,7876,Gary Bodie,Kevil Eley,,13,5,9,4,6,6,75.4,56.4,7
AUS,8271,Geoff Kyrwood,Paul Campbell,,8,1,19,14,14,2,82,57,8
GBR,8242,Mark Upton-Brown,Bill Masterman,,20,27,7,6,8,12,115.7,82.7,9
AUS,8042,Peter Hewson,Alyn Ovenden,,18,23,8,12,16,9,116,87,10
AUS,8282,Stephen McConaghy,David Page,,23,28,13,13,9,4,124,90,11
GBR,8291,Ian Barker,Neal McDonald,,11,19,2,33,24,15,135,96,12
CAN,8264,Jeff Boyd,Martin Tenhove,,7,21,16,19,7,17,123,96,13
USA,8266,Patrick Andreasen,David Shelton,,10,3,18,15,28,24,130.7,96.7,14
USA,8013,Mike Punnett,Scott Ikle,,15,15,20,17,12,8,123,97,15
USA,8084,Jim Maloney,Bob Sutton,,25,4,15,18,33,14,143,104,16
USA,7875,Jeff Miller,Bruce Heckman,,24,24,14,11,17,18,144,114,17
CAN,8040,Mark Soulsby,Nick Patterson,,16,30,4,30,13,27,154,118,18
USA,8191,Macy Nelson,John Fry,,9,26,DNF,16,26,11,201,118,19
USA,8017,Tom Poor,Stuart Park,,27,20,28,20,23,13,167,133,20
CAN,8263,Ali Meller,Mike Smith,,12,42,31,25,29,7,182,134,21
GBR,8309,Adrian Miles,Neil Fulcher,,52,22,12,24,32,26,204,146,22
GBR,8055,Vernon Ralston,Simon Spratt,,36,13,17,37,19,31,189,146,23
AUS,8275,Sandy Higgins,Jordon Spencer,,28,45,26,22,21,20,198,147,24
USA,8083,Dave Dyson,Rob Erda,,19,17,30,31,22,DNF,232,149,25
DEN,8094,Lars Bojvad,Soren Storm,,44,34,5,42,18,22,200,150,26
USA,7873,Ellen Ablow,Alan Norman,,26,12,45,39,31,21,210,159,27
GBR,8305,Martin Spence,Nigel Vooght,,43,32,23,28,15,36,213,164,28
USA,7100,Neil Fowler,Allan Kilgore,,21,37,27,29,27,DNS,254,171,29
CAN,6910,Simon Lewis,Nick Lewis,,37,6,42,46,30,29,219.7,171.7,30
USA,7774,Paul Tara,Meade Hopkins,,33,44,21,44,16,30,224,174,31
FRA,8063,Marcel Buffet,Marc Laurent,,30,40,29,8,50,39,232,176,32
SWE,8232,Ebbe Rosen,Lars Edstrom,,22,35,43,41,25,23,225,176,33
USA,8194,Tom Kinney,Dave Penfield,,31,50,33,9,37,37,233,177,34
