Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Platzierungen 7,Punkte,Pl.
GER,9146,Jens Findel,Johannes Tellen,KYC,10,2,2,1,1,1,5,,1
GER,9071,Wolfgang Hunger,Julien Kleiner,PYC,3,9,1,4,5,2,2,,2
GER,9090,Christian Kellner,Martin Schöler,HSC,1,1,5,2,4,9,12,,3
GER,9112,Morten Bogacki,Lars Dehne,DYC,5,4,17,3,3,14,9,,4
GER,9070,Stefan Köchlin,Andreas Achterberg,SKF,DNC,10,16,14,2,3,3,,5
DEN,9128,Nikolaj Buhl,Henrik Buhl,,24,12,4,13,6,6,10,,6
GER,9121,Tim Böger,Markus Schöner,HSC,DNC,11,8,10,16,4,4,,7
GER,9035,Ronald Roos,Morten Roos,SVWu,2,3,14,15,8,13,14,,8
SUI,9096,Cedric Bart,Laurent Grob,CNB,12,8,6,11,15,12,6,,9
GER,9062,Jens Olbrysch,Oliver Thies,HSC,4,7,9,20,11,17,13,,10
SUI,8569,Rene Betschen,Lionel Hollinger,CNB,7,15,7,7,7,19,DSQ,,11
GBR,9131,Nathan Batchelor,Sam Pascoe,,6,5,3,6,DNC,5,DSQ,,12
GER,9133,Frieder Achterberg,Wolfgang Stückl,DTYC,26,22,15,5,9,11,16,,13
GER,9011,Michael Daisenberger,Tobi Bolduan,DTYC,16,6,11,17,13,18,DSQ,,14
GBR,9104,Harry Briddon,Adam Kenney,,21,17,DNC,8,10,10,15,,15
GER,8928,Stephan Schweiger,Thorsten Koch,SCLW,11,14,21,19,12,20,8,,16
DEN,9121,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,HS,8,13,DNC,12,DNC,16,1,,17
GER,8958,Nicholas Melzwig,Axel Priegann,LRV,13,16,19,16,14,24,18,,18
GER,9101,Stefan Giesler,Frank Böhm,VSAW,18,23,DNC,9,17,21,11,,19
GBR,9093,Tudor Owen,Thomas Bruton,,14,20,18,21,19,8,22,,20
GER,9040,Nørbert Dasenbrook,Sven Meier,KSW,15,18,10,18,18,DNC,23,,21
GER,9122,Benedikt Northoff,Kilian Northoff,BYC,9,25,13,DNC,DNC,7,17,,22
SUI,9147,Caroline Jacot,Philippe Jacot,CVN,19,19,12,DNC,DNC,15,7,,23
SUI,8961,Toni Utiger,Markus Heilig,,22,26,20,24,21,25,21,,24
FRA,9099,Riwanon le Roy,Alain Karadjan,,20,28,25,26,20,27,19,,25
SUI,9060,Catherine Houriet,Gil Donze,,25,31,22,25,24,29,25,,26
FRA,8402,Loic Bleuez,Frederic Roucayrol,,30,27,26,22,23,26,27,,27
GER,8385,Torsten Simon,Alexander Neddermeier,PYC,28,30,24,23,22,31,29,,28
AUS,9028,Earle Alexander,Ridgway,RQYS,17,21,DNC,DNC,DNC,23,20,,29
GER,9114,Mats Westholm,Francisco Sanguino,SCLW,23,24,DNC,DNC,DNC,28,24,,30
GER,9046,Hartwig Friedrichs,Antje Gosch,WSCW,27,29,DNC,DNC,DNC,22,26,,31
GBR,8867,Brian Trainor,Evan Jennings,,DNC,33,23,DNC,DNC,33,30,,32
GER,8672,Dirk Hütten,Guido von Walter,,31,34,DNC,DNC,DNC,32,31,,33
SUI,8197,David Dürr,Joel Dürr,,32,32,DNC,DNC,DNC,35,32,,34
GER,8530,Alexander von Mertens,Sebastian Dörr,StSC,DNC,DNC,DNC,DNC,DNC,30,28,,35
GER,9139,Dirk Penno,Tim Böger,,29,DNC,DNC,DNC,DNC,DNC,DNC,,36
GBR,8745,Patrick McGale,Anne Fitzpatrick,QMSC,DNC,DNC,DNC,DNC,DNC,34,33,,37
