Nation,Boat NO,Steuermann/-frau,Vorschoter/-in,Club,,,Platz
FRA,8402,Bolte Philippe,,,,,1
GER,8623,Stefan Böhm,Gerald Roos,SCV,,,2
-,-,,,,,,3
-,-,,,,,,4
GBR,8624,Pinell Ian,,,,,5
GER,8388,Christian Kellner,Andreas Achterberg,HSC,,,6
GER,8665,Nicolai Völckner,Lars Dehne,SVHB,,,7
GER,8392,Martin Seikel,Norbert Becker,YCRM,,,8
GER,8279,Jörg Thumann,Franco Weichel,TuSY,,,9
SWE,8593,Baecksin Johan,,,,,10
GER,,Stefan Schollmayer,Francesco Sanguino,SCMSP,,,11
-,-,,,,,,12
-,-,,,,,,13
GER,8054,Thore Michels,Andreas Schmidt,ZSK,,,14
GBR,8511,Boardman Robin,,,,,15
GER,,Jörg Detmold,Holger Neuhaus,SCH,,,16
-,-,,,,,,17
-,-,,,,,,18
GER,8075,Falko Braun,Peter Hobusch,SCR,,,19
GER,8609,Christian Müllejans,Andre Müller,SVWu,,,20
-,-,,,,,,21
GER,,Markus Mühlbauer,Angela Stenger,DTYC,,,22
GER,,R. Barthel,U. Barthel, ,,,23
