Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
USA,8831,Parker Shin,Paul von Grey,SDYC,1,1,,,,Paul & Parker,,2,1
USA,9042,JB Turney,Justin Shaffer,St.FYC,3,2,,,,Stimulus Package,,5,2
USA,8681,Ryan Cox,Stuart Park,TISC,5,3,,,,,,8,3
USA,9115,Mike Holt,Rob Woelfel,Santa Cruz YC,2,7,,,,IO Integration,,9,4
USA,8904,David Chatham,,Bird Dog YC,4,6,,,,Bird Dog,,10,5
USA,9004,Eben Russell,,none,6,10,,,,Bullpen,,16,6
USA,9073,Bruce Edwards,,StFYC,9,8,,,,Dog n Pony Rides Again,,17,7
USA,7069,Ian O'Leary,,B.Y.C,13,5,,,,Tiburon,,18,8
USA,8554,Edward Conrads,,St Francisco,8,11,,,,IBWCYHI,,19,9
CAN,8970,Robert Tennant,,RVicYC,20/DNF,4,,,,,,24T,10
USA,8937,Tim Murphy,,None,12,12,,,,505,,24T,11
USA,8931,Daniel Esdorn,,TISC,7,20/DNF,,,,Duesentrieb,,27,12
USA,9082,Jeff Miller,Pat Diola,SCYC,20/OCS,9,,,,Miracle,,29,13
CAN,8755,Brian Trainor,,Kitsilano Yacht Club,10,20/DNF,,,,Banshee,,30,14
USA,7156,Aaron Ross,,Santa Cruz YC,11,20/DNF,,,,Where's Rob?,,31,15
USA,8559,Cory Schillaci,,None,14,20/DNF,,,,,,34,16
USA,7609,Ryan Nelson,,Richmond Yacht Club,20/DNF,20/DNF,,,,Sparkley Unicorn,,40T,17
USA,8908,Antoine Laussu,,PSSA,20/DNF,20/DNS,,,,,,40T,17
GBR,8867,Patrick McGale,,QUEEN MARY SAILING CLUB,20/DNF,20/DNF,,,,,,40T,17
