Nation,Sail,Skipper,Crew,Club,1,2,3,4,5,Total Points,Pos
USA,8808,Augie Diaz,Rob Woelfel,CRYC/BBYC,[12],1,1,8,1,11,1
USA,8830,Mark Zagol,Andrew Buttner,NESS,1,4,3,[7],4,12,2
USA,8913,Dan Herlihy,Geoff Ewenson/Carl Smit,FBYC,4,[10],4,1,5,14,3
USA,13*,Tyler Moore,Patrick O’Bryan,Hampton YC,2,2,[17],10,2,16,4
USA,8854,Craig Thompson,Carson Turowski,Kittery Point YC,7,9,6,3,[18],25,5
USA,9095,Macy Nelson,Parry Barclay,WRSC,5,[15],8,5,8,26,6
USA,9041,Henry Amthor,Dustin Romey,Hampton YC,10,5,2,[25],10,27,7
USA,8838,John Storck,Alden Rei,Storm Trysail Club,8,7,10,[17],3,28,8
USA,8715,Ben Moon,Erik Boothe,,6,3,[19],6,14,29,9
CAN,8264,Jeff Boyd,Gord Crothers,Kingston YC,15,[19],9,2,9,35,10
USA,8821,Michael Komar,Ervin Grove,"Newport,RI",[18],12,5,15,7,39,11
USA,7200,Alexander “Ali” Meller,Mike Coe,SSA,3,[14],12,12,13,40,12
USA,8194,Ted Ferraone,Clayton James,Larchmont YC,11,6,11,[14],12,40,13
USA,8722,Jonathan Phillips,Kelsey Averil,SSA,9,8,7,[19],17,41,14
USA,7346,Andrew Jones,Zack Marks,SPYC,[24],11,18,9,6,44,15
USA,8766,Ian Conners,Russell Miller,SSA,[19],13,13,4,16,46,16
USA,9005,Tom Kivney,Gordon Russell,Region 1,[21],20,14,11,11,56,17
USA,7773,Duane Delfosse,Sol Marini,LSYC,13,[18],15,13,15,56,18
USA,7606,Brendan Connell,Brendan Heussler,,14,[24],22,16,21,73,19
USA,9003,Jesse Falsone,Clayton Russell,SSA,22,16,[24],18,19,75,20
USA,7199,Stergios Papadakis,Eric Anderson,SSA,16,21,21,20,[23],78,21
USA,7359,Catherine Brady,Christopher Brady,SSA,17,[27],25,21,20,83,22
IRL,8883,Peter Scannell,Michael Renda,WRSC,20,23,20,22,[33/DNC],85,23
USA,8851,Amie Huebner,Ted Huebner,Hampton YC,25,17,16,[33/DNC],33/DNC,91,24
USA,8939,John Wyles,Gareth Fletcher,,27,22,23,[29],26,98,25
USA,8850,Doug Watson,Pete Stanton,WRSC,23,26,26,23,[33/DNS],98,26
USA,8919,Lauren Schoene,Bryan Richardson,SSA,26,25,[31],24,25,100,27
USA,8822,David Burchfiel,Andy Forman,Carolina SC,28,[33/DNS],27,26,22,103,28
USA,8951,Christian Rasmussen,Mike Cravits,Hampton YC,[29],29,29,28,24,110,29
USA,8244,Gretchen Esbensen,Paul Andron,SSA,30,28,28,27,[33/DNC],113,30
USA,919*,Joseph Hidalgo,Avram Dorfman,SSA,[33/DNF],33/RAF,30,33/DNF,33/DNC,129,31
USA,8059,David Neal,Sherri Korpella,SSA,[33/DNC],33/DNC,33/DNC,33/DNF,33/DNC,132,32
