Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Boat Name,Points Total,Points Netto,Place
USA,,Mike Martin,Jon Bell/Adam Lowry,,1,1,1,1,1,,,,,,,,1
USA,,Mike Holt,Rob Woelfel,,,,,,,1,1,1,1,,,,2
USA,,Howard Hamlin,Jeffrey Nelson,,,,,,,,,,,,,,
USA,,Bruce Edwards,David Shelton,,,,,,,,,,,,,,
USA,,Mats Elf,Paul von Grey,,,,,,,,,,,,,,
USA,,Tim Murphy,Geoff Gales,,,,,,,,,,,,,,
USA,,Pierre Jeangirard,Antoine Laussu,,,,,,,,,,,,,,
USA,,Ian O'Leary,Chris,,,,,,,,,,,,,,
USA,,Aaron Ross,Rob Waterman,,,,,,,,,,,,,,
USA,,,,,,,,,,,,,,,,,
USA,,Holt Condon,Reeve Dunne,,,,,,,,,,,,,,
USA,,Jeff Miller,Pat Diola,,,,,,,,,,,,,,
