Sail,Boat,Helm,Crew,City,Race 1,Race 2,Race 3,State,Total,Pl
USA,9005,Tyler Moore,Jesse Falsone,Hampton,1,1,6,VA,8,1
USA,8715,Ethan Bixby,Erik Boothe,St.Petersburg,2,6,1,FL,9,2
USA,8830,Mark Zagol,Andrew Buttner,Pacawtuck,4,4,2,CT,10,3
USA,8808,Augie Diaz,,Miami,9,2,4,FL,15,4
USA,9007,Matt Barry,Thomas Borrows,Philiadelphia,3,5,8,PA,16,5
USA,8083,James Barry,Ian Burrows,Providence,5,3,10,RI,18,6
USA,8854,Craig Thompson,Matt Woodworth,St.Petersburg,8,7,3,FL,18,7
USA,9095,Macy Nelson,Parry BBarclay,Baltimore,6,9,9,MD,24,8
USA,9041,Henry Anmthor,Dustin Romey,Hampton,13,8,5,VA,26,9
USA,8722,Jonathan Phillips,Brendan Heussler,Annapolis,7,11,13,MD,31,10
USA,8913,Travis Weisleder,Dan Herliehy,Richmond,12,13,7,VA,32,11
USA,8851,Amie Hueber,Ted Hueber,Norfolk,11,10,11,VA,32,12
USA,715,Andrew Jones,William Felder,St.Petersburg,10,14,12,FL,36,13
USA,8814,Lin Robson,James Nunn,St.Pete Beach,15,12,15,FL,42,14
USA,8593,Nathaniel Plant,Carl Plant,St.Petersburg,16,15,14,FL,45,15
USA,8766,Ian Conners,Bryan Richardson,Annapolis,14,17,17,MD,48,16
USA,8939,John Wyles,Russell Miller,New York,18,16,16,NY,50,17
USA,8190,Tim Sayles,Scot Shuman,Warrington,17,18,18,PA,53,18
