Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
USA,9115,Mike Holt,Rob Woelfel,Santa Cru YC,2,1,3,[8],1,IO Integration,15,7T,1
USA,8878,Edward Conrads,Brian Haines,St. Francis,3,2,1,1,[7],IBIWCYHI,14,7T,2
USA,80*,Howard Hamlin,Jeffrey Nelson,NHYC/ABYC,1,4,4,3,[5],The Old Boat,17,12,3
USA,9042,JB Turney,Justin Shaffer,St.FYC,[5],3,5,5,2,Stimulus Package,20,15,4
USA,9073,Bruce Edwards,David Shelton,StFYC,[10],5,2,6,3,The Dog n Pony Show,26,16,5
USA,8554,Holt Condon,Reeve Dunne,StFYC,7,8,[12/DNF],2,6,Green Boat,35,23T,6
USA,8970,Nick Adamson,Rich Mundell,TISC,6,6,7,4,[8],Hall Pass,31,23T,7
USA,9004,Eben Russell,Brendan Teague,Monterey,4,[12/DNF],6,11,4,,37,25,8
USA,8084,Aaron Ross,Rob Waterman,Santa Cruz Yacht Club,9,7,8,7,[12/OCS],Rob's Old Boat,43,31,9
USA,8937,Tim Murphy/Oliver Kell,Tim Murphy,,8,9,[12/DNF],10,12/DNF,,51,39,10
USA,7069,Ian O'Leary,Chris Burrelson,BYC,[12/DNS],10,12/DNS,9,9,Tiburon,52,40,11
