Ident,Helm,Crew,Points,c.1,c.2,c.3,c.4,Club / Pays,,Netto,Rgs
AUS 9210,Quirk Michael,Needham Tim,8,3*,1,2,2,AUSTRALIE,,5,1
USA 9153,Hamlin Howard,Nelson Jeff,13,1,5,1,6*,ETATS UNIS D'AM,,7,2
GBR 9190,Pinnel Ian,Russ Clark,13,2,3,3,5*,GRANDE-BRETAGNE,,8,3
GER 8992,Hunger Wolfgang,Holger Jess,14,4,4,5*,1,ALLEMAGNE,,9,4
FRA 9220,Philippe Boite,Mathieu Fountaine,37,19*,2,13,3,CVSQ,S R ROCHELAISES,18,5
GER 9198,Stueckl Julian,Tellen Johannes,56,11,DNC 35*,6,4,ALLEMAGNE,,21,6
GBR 9177,Gillard Thomas,Edwards Geoff,36,7,14*,4,11,GRANDE-BRETAGNE,,22,7
DEN 9187,Saugmann Jan,Ernst Jacob Sunny,36,12*,6,8,10,GRANDE-BRETAGNE,,24,8
GER 9182,Holzapfel Alexander,Worm Stefan,42,15*,7,7,13,ALLEMAGNE,,27,9
GER 9169,Böger Tim,Böger Finn,41,9,9,9,14*,ALLEMAGNE,,27,10
GBR 9180,Upton Brown Mark,Mitchell Ian,41,5,13*,11,12,GRANDE-BRETAGNE,,28,11
GBR 9178,Lewns Chris,Kilburn Jack,63,6,12,10,DNF 35*,GRANDE-BRETAGNE,,28,12
GER 9185,Boehm Stefan,Roos Gerald,70,DNC 35*,8,20,7,ALLEMAGNE,,35,13
SUI 9096,Bart Cedric,Betschen René,50,10,10,15*,15,ALLEMAGNE,,35,14
SUI 9163,Stauffer Florian,Valery Jacot,61,14,15,23*,9,SUISSE,,38,15
GER 8915,Schlesiger Davina,Schlesiger Marvin,58,8,17*,16,17,ALLEMAGNE,,41,16
GER 9133,Achterberg Frieder,Stueckl Wolfgang,60,16,11,17*,16,ALLEMAGNE,,43,17
GER 9070,Söllner Sophie,Achterberg Andreas,68,23*,19,18,8,ALLEMAGNE,,45,18
GER 9197,Birkner Nicola,Ste Angela,68,17,18,12,21*,ALLEMAGNE,,47,19
ITA 8916,Ciferri Enrico,Giraldi Marco,90,21,20,14,DNF 35*,ITALIE,,55,20
FRA 9150,De Kergariou Herve,Lafortune Geraud,85,13,23,27*,22,CN ARRADON,C V SEINE-PORT,58,21
GBR 9179,Tudor Owen,Bruton Tom,88,24,16,30*,18,GRANDE-BRETAGNE,,58,22
GER 8750,Kruse Peter,Wittemer Arne,85,18,22,25*,20,ALLEMAGNE,,60,23
GER 9054,Wollenbecker Anika,Wollenbecker Raik,91,22,21,29*,19,ALLEMAGNE,,62,24
BEL 8553,Gorremans Paul,Gorremans Pierre,97,20,28*,26,23,BELGIQUE,,69,25
FRA 917,Neidhart Elisabeth,De Monteil David,105,27,24,19,DNF 35*,Y C ILE DE FRANCE,C V SEINE-PORT,70,26
FRA 975,Bleuez Loic,Roucayrol Frederic,99,26*,25,22,26,FRANCE,,73,27
GER 8806,Hauschilo Anna,Menge Katharina,107,25,26,31*,25,ALLEMAGNE,,76,28
FRA 8711,Gachet Claude,Caminade Francois,106,29*,29,24,24,YC Grenoble Chara.,YC Grenoble Chara.,77,29
SUI 9060,Houriet Catherine,Donze Gil,116,30,30,21,DNF 35*,SUISSE,,81,30
FRA 9019,Brenet Veronique,Peter Jean-Pierre,118,28,27,28,DNF 35*,A C D'ALSACE LORRAIN,A C D'ALSACE LORRAIN,83,31
GER 9135,Biederer Jens,Thies Oliver,140,DNC 35*,DNC 35,DNC 35,DNF 35,ALLEMAGNE,,105,32
GBR 9036,Wedge Martin,Cousin Maurice,140,DNC 35*,DNC 35,DNC 35,DNF 35,GRANDE-BRETAGNE,,105,32
GER 9195,Perro Dirk,Niermann Uwe,140,DNC 35*,DNC 35,DNC 35,DNF 35,ALLEMAGNE,,105,32
