,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,Platz
USA,9080,Howard Hamlin,Andy Zinn,NHYC,1,2,2,1,,1
GBR,9088,Andy Smith,Tim Needham,,7,1,11,2,,2
USA,9072,Mike Holt,Rob Woelfel,,3,4,10,9,,3
GBR,9094,Ian Pinnel,David Shelton,,9,6,6,8,,4
GER,9101,Stefan Giesler,Frank Böhm,VSAW,10,7,16,10,,5
GER,9035,Ronald Roos,Morten Roos,SVWu,12,12,18,6,,6
GER,9127,Ulf Pleßmann,Hans-Heinrich Rix,AYC,15,10,13,11,,7
DEN,9128,Nikolaj Buhl,Hewrik Buhl,,17,11,22,17,,8
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK,22,16,23,21,,9
DEN,8828,Fabiola Wonterghem,Michael Wonterghem,SoSe,13,24,27,34,,10
RSA,8719,Alexander Ham,Warwack Ham,,36,22,50,12,,11
GBR,9125,Roger Deane,Tommy Nurse,,31,30,46,25,,12
AUS,8637,Sam Cronin,Kevin Whitbread,,29,27,45,39,,13
GER,9023,Max Eisenrieder,Dirk Penno,YCaT,25,32,43,43,,14
GER,8988,Georg Mittermayer,Dirk Barteldt,LYC,37,35,42,40,,15
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,42,25,56,41,,16
GER,8702,Martin Handel,Volker Böhringer,SGK,44,31,51,42,,17
GER,8500,Katharina Menge,Jens Kühne,OSG,43,34,44,48,,18
GER,9135,Stefan Böhm,Gerald Roos,SCV,11,3,DNC 86,5,,19
DEN,9121,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,HS,6,9,9,DNC 86,,20
GER,9070,Stefan Köchlin,Andreas Achterberg,SKF,16,8,8,DNC 86,,21
GER,9110,Tim Böger,Markus Schöner,HSC,DNC 86,5,7,24,,22
AUS,9134,Michael Quirk,John Warlow,MHYC,14,DNF 86,17,13,,23
GBR,8963,Martin Hodgson,Adrian Miles,,DNC 86,21,20,4,,24
SUI,8954,Caroline Jacot,Philippe Jacot,CVN,21,18,19,DNC 86,,25
GBR,9104,Alex Barry,Adam Kenney,,DNC 86,19,21,20,,26
GBR,9057,Chris Lewns,Jarrod Simpson,,35,17,14,DNC 86,,27
SWE,8912,Tom Hastenpflug,Toni Hastenpflug,,19,20,35,DNC 86,,28
SWE,8651,Peter Andersson,Per-Eric Thornstrom,,27,DNC 86,36,19,,29
AUS,9028,Earle Alexander,Matt Bowden,RQYS,38,15,33,DNC 86,,30
GER,8843,Oliver Kraft,Frank Heimburger,SSCM,28,33,DNC 86,44,,31
GER,9000,Martin Bernauer,Enno Wilts,CNFT,DNC 86,29,69,28,,32
AUS,8943,Brett Bowden,Robert Bath,,DNC 86,28,47,45,,33
GER,8964,Iris Anton,Bruno Laudage,HSC,33,DNC 86,55,33,,34
SWE,8787,Lars Bjerke,Tore Reinhold,BKSS,24,DNC 86,54,46,,35
GER,8874,Henning Steffen,Andreas Schmidt,SLRV,46,DNF 86,48,32,,36
FRA,9024,Kleber Valery,David de Monteil,YCG,DNF 86,26,52,50,,37
GER,8932,Christian Henge,Katja Henge,OSG,DNF 86,36,62,47,,38
GER,8989,Klaus Brinkbäumer,Toralf Feuchtenhofer,HSC,DNF 86,37,64,52,,39
GER,9131,Meike Schomäker,Holger Jess,ZSK,5,DNF 86,1,DNF 86,,40
GER,9090,Christian Kellner,Martin Schöler,HSC,4,DNC 86,DNC 86,3,,41
GER,8992,Claas Lehmann,Leon Oehme,NRV,8,DNF 86,4,DNC 86,,42
GER,9071,Wolfgang Hunger,Julien Kleiner,PYC,DNC 86,DNC 86,3,14,,43
USA,9095,Macy Nelson,Parry Barclay,WRSC,DNC 86,DNC 86,3,14,,44
SUI,9096,Cedric Bart,Rene Betschen,CNB,DNC 86,DNC 86,15,16,,45
HKG,9055,Mark Thornburrow,Laurence Mead,,DNC 86,DNC 86,15,16,,46
DEN,8440,Mikkel Christiansen,Mads Christiansen,Aas,DNC 86,14,DNC 86,22,,47
GER,8956,Bernd Rasenack,Stefan Brückner,ZSK,20,23,DNC 86,DNC 86,,48
GER,9122,Benedikt Northoff,Kilian Northoff,BYC,DNC 86,13,32,DNC 86,,49
GER,9129,Hasso Plattner,Peter Alarie,KYC,26,DNC 86,29,DNC 86,,50
GER,8686,Hans-Jürgen Rentelmann,Markus Hintz,BSC,DNC 86,DNC 86,31,21,,51
RSA,9063,James Largier,Richard Hutton-Squire,,DNC 86,DNC 86,30,27,,52
SUI,8961,Toni Utiger,Markus Heilig,,DNC 86,DNC 86,37,31,,53
AUS,9022,Ian Burford,Dave Christie,,DNC 86,DNC 86,41,29,,54
AUS,8920,Jeffrey Robinson,Bryce Penfold,,32,DNC 86,39,DNC 86,,55
POL,8802,Mateusz Jura,Bartosz Chroł,,34,DNC 86,40,DNC 86,,56
GBR,8881,James McGillivray,Ian McGillivray,,39,DNC 86,DNC 86,35,,57
SWE,7017,Galen Mack,Wilhelm Johannisson,,DNC 86,DNC 86,58,37,,58
ITA,8916,Marco Giraldi,John McLean,UVM,DNC 86,DNC 86,59,38,,59
GER,8531,Anna Hauschild,Hartwig Friedrichs,SCS,DNC 86,DNC 86,53,49,,60
GER,8654,Philipp Müller,Malte Eilenstein,SGAM,45,DNC 86,65,DNC 86,,61
GER,8630,Lars Lankenau,Anna Schipler,SFHS,DNC 86,DNC 86,66,54,,62
GER,8901,Andre Tirre,Frank Wille,YCS,2,DNC 86,DNC 86,DNC 86,,63
SWE,8926,Ebbe Rosen,Olle Wenrup,Mai Arhojd,DNC 86,DNC 86,5,DNC 86,,64
FRA,9076,Xavier Broise,Nicolas des Jamonières,,DNC 86,DNC 86,DNC 86,18,,65
GER,9029,Hannes Wagner,Heiko Thölmann,KYC,18,DNC 86,DNC 86,DNC 86,,66
RSA,8481,Peter Funke,Thomas Funke,T YC,DNC 86,DNC 86,DNC 86,23,,67
GER,8962,Nicolai Völckner,Andreas Schmidt,HSC,23,DNC 86,DNC 86,DNC 86,,68
