Nation,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,Boat,Total,Nett,Rank,Fleet,Boat,Class,SailNo,Club,HelmName,CrewName,Rating,R1,R2,R3,R4,R5,R6,R7,R8,R9,Total,Nett,Place
RSA,8481,Thomas Funke,Peter Funke,PSC,2,(3.0),1,1,1,2,2,1,1,Gus,14,11,1st,,Gus,505,8481,PSC,Thomas Funke,Peter Funke,,2,(3.0),1,1,1,2,2,1,1,14,11,1
RSA,8445,Kyle Klaas,Robert von Gruenewaldt,PSC,1,1,2,2,2,1,1,(4.0),2,BRT,16,12,2nd,,BRT,505,8445,PSC,Kyle Klaas,Robert von Gruenewaldt,,1,1,2,2,2,1,1,(4.0),2,16,12,2
RSA,8537,Luke Wagner,Gareth,PYC,3,4,4,3,3,4,3,2,(11.0 DNC),Impulse,37,26,3rd,,Impulse,505,8537,PYC,Luke Wagner,Gareth,,3,4,4,3,3,4,3,2,(11.0 DNC),37,26,3
RSA,8707,Albrecht Holm,Willem Buhrman,PSC,5,5,3,(11.0 DNC),11.0 DNC,6,4,3,11.0 DNC,Aitsa,59,48,4th,,Aitsa,505,8707,PSC,Albrecht Holm,Willem Buhrman,,5,5,3,(11.0 DNC),11.0 DNC,6,4,3,11.0 DNC,59,48,4
RSA,8121,Jim Courtney,Kobus Holtzhausen,BYC,7,7,6,5,(11.0 DNC),3,5,6,11.0 DNC,Laat Waai,61,50,5th,,Laat Waai,505,8121,BYC,Jim Courtney,Kobus Holtzhausen,,7,7,6,5,(11.0 DNC),3,5,6,11.0 DNC,61,50,5
RSA,8789,Mark Biagio,Warwick Ham,PSC,4,2,5,4,(11.0 DNC),5,11.0 DNC,11.0 DNC,11.0 DNC,Seven of 9,64,53,6th,,Seven of 9,505,8789,PSC,Mark Biagio,Warwick Ham,,4,2,5,4,(11.0 DNC),5,11.0 DNC,11.0 DNC,11.0 DNC,64,53,6
RSA,6707,Bronwen Klaas,Eduan Naude,PSC,6,6,7,7,(11.0 DNC),11.0 DNC,7,5,11.0 DNC,Coastal Flyer,71,60,7th,,Coastal Flyer,505,6707,PSC,Bronwen Klaas,Eduan Naude,,6,6,7,7,(11.0 DNC),11.0 DNC,7,5,11.0 DNC,71,60,7
RSA,8471,Tim Gibbons,David Clark,BSC,(11.0 DNC),8,8,6,11.0 DNC,11.0 DNC,6,7,11.0 DNC,Fish Eagle,79,68,8th,,Fish Eagle,505,8471,BSC,Tim Gibbons,David Clark,,(11.0 DNC),8,8,6,11.0 DNC,11.0 DNC,6,7,11.0 DNC,79,68,8
RSA,7457,Jan Zuidersma,Jan Junior,,8,(11.0 DNC),11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,SMEE,96,85,9th,,SMEE,505,7457,,Jan Zuidersma,Jan Junior,,8,(11.0 DNC),11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,96,85,9
,,,,,,,,,,,,,,,,,10th,,,,,,,,,(11.0 DNC),11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,11.0 DNC,99,88,10
