Nation,Sail No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
USA,7318,Nick Trotman,Mike Mills,,,1,,1,,1
CAN,7876,Tyler Moore,Andy Wright/Karl Anderson,,1,,,,,2
USA,8194,Tom Kivney,Tom Russell,,,,1,,,3
USA,8*,Nick Grey,Gerard Kivney,,,,,,,4
USA,8059,Bob Edenbach,Jay Miles,,,,,,,5
USA,7100,Andrew Crocker,Ryan Cox,,DNS,DNS,,,,6T
USA,6282,Tom Godfrey,,,,,,,,6T
USA,8311,Barry Kuehl,Bruce Tilley,,,,,,,8
