Country,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
USA,0,Ki Kaiser,John Badtke,,1,2,2,1,5.5,1
USA,7685,Graham Alexander,Mark Koenig,,2,3,1,2,7.75,2
USA,0,John Dohan,Bill Beardslee,,3,1,4,3,10.75,3
USA,0,Dave Stetson,Allan Brown,,4,5,5,4,18,4
USA,0,Jim Colgrove,Chris,,6,6,3,5,20,5
USA,7857,Jim Tuten,Geoff Cashman,,7,4,6,6,23,6
USA,0,Mark Derry,Richard Gray,,5,,,,29,7
