Nation,Boat no,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Place
USA,0,John Dohan,Dave Zetti,,2,1,1,1,1,5,1
USA,7685,Graham Alexander,Mark Koenig,,1,3,2,3,2,10.75,2
USA,0,Ki Kaiser,John Badtke,,3,2,3,2,3,13,3
USA,0,Dave Stetson,Mike Agrell,,4,4,4,4,4,20,4
USA,0,Jim Colegrove,Charlie Roy,,5,5,5,5,5,25,5
USA,0,Phil Terman,Susan Badtke,,6,6,6,6,6,30,6
