Nation,Number,DRIVER,CREW,Club,Race 1,Race 2,Race 3,Race 4,Race 5,POINTS,PLACE
USA,0,Pete Melvin,Mike Martin,,1,1,1,1,1,3.75,1
USA,8266,Howard Hamlin,Mike Jankowski,,2,4,8,4,5,23,2
USA,0,Bruce Edwards,Dave Shelton,,3,2,7,10,3,25,3
USA,0,Mike Holt,Brad Cole,,6,11,10,2,2,31,4
USA,0,Jeff Miller,Bruce Heckman,,4,3,2,19,10,38,5
USA,0,Mike Punnet,Don Smith,,7,10,9,9,4,39,6
USA,0,Tom Poore,Tim Park,,17,6,4,5,8,40,7
,0,Craig,Brox,,11,8,5,3,18,45,8
,0,Wondoleck,Kuncl,,14,7,11,6,14,52,9
,0,Thompson,Koblenz,,9,13,12,7,13,54,10
,0,Brown,Liston,,16,19,3,12,7,57,11
,0,Hamilton,Harland,,12,9,13,15,9,58,12
,0,Bartz,Leib,,15,5,14,8,17,59,13
,0,Hayley,Burnard,,10,14,17,13,6,60,14
,0,Tara,Cook,,5,15,20,11,19,70,15
,0,Smith,Perez,,20,16,6,18,11,71,16
,0,Robinson,Anderes,,13,18,15,16,15,77,17
,0,Gooding,Ives,,8,20,16,17,20,81,18
,0,Andreasen,Hopkins,,19,12,21,20,12,84,19
,0,Klein,Pauling,,18,21,18,14,16,87,20
,0,Gilmour,Gilmour,,21,17,19,21,25,103,21
,0,Weaver,Clemp,,22,22,22,22,21,109,22
,0,Rettinger,Rettinger,,25,25,23,23,22,118,23
,0,Craig,Craig,,25,25,25,25,25,125,24
