Nation,Boat NO,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,,Place
USA,8263,Ali Meller,Kevin Eley,,,,,,,1
USA,7348,Jim Englert,Thad Melton,,,,,,,2
USA,7879,Jonathan Phillips,Mike Smith,,,,1,,,3
USA,7092,Ken Elliot,Allan Kilgore,,,,,,,4
USA,7772,Henry Amthor,Doug Amthor,,,,,1,,5
