Nation,Sail no,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Netto,Place
USA,8263,Ali Meller,Allan Johnson,,2*,2*,1,1,1,7,3,1
USA,7148,Peter Mignerey,Chris Harvey,,4*,3*,2,2,2,13,6,2
USA,7347,Jim Englert,Thad Melton,,1,1,7 DNS*,7 DNS*,7 DNS,20,9,3
USA,7607,Bob O'Brien,George Saunders,,3*,4*,3,3,3,16,9,4
USA,8015,Monty Schumpert,Craig Schumpert,,7 DNS*,7 DNS*,4,4,4,24,12,5
USA,8191,Macy Nelson,Nick Nelson,,7 DNS,7 DNS,7 DNS,7 DNS,7 DNS,30,30,6
