Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Netto,Place
SWE,7655,Krister Bergström,Olle Wenrup,GKSS,[4],3,1,1,"13,7","5,7",1
AUS,7481,Dean Blatchford,Tom Woods,RMYC,1,[4],2,2,14,6,2
AUS,8035,Stephen McConaghy,Andrew McConaghy,RMYC,3,2,[18],7,"45,7","21,7",3
AUS,8035,Norman Rydge,G Lange,MHYC,5,[16],3,9,"53,2","30,7",4
USA,8016,Bruce Edwards,David Shelton,St.FYC,12,[55],9,5,98,37,5
USA,7875,Jeff Miller,Bruce Heckman,RYC,23,1,[26],11,78,46,6
AUS,8037,Terry Kyrwood,Reg Crick,RMYC,15,8,[60],6,"112,7","46,7",7
AUS,7936,Gary Bruniges,Greg Gardiner,RMYC,7,[21],9,21,76,49,8
GBR,7852,Chris Haworth,Nigel Appleton,BCSC,[76],10,19,4,131,49,8
USA,8013,Mike Punnett,Scott Iklé,usa,10,7,23,[33],97,58,10
USA,8017,Tom Poore,Stuart Park,PAYC,6,20,15,[35],"99,7","58,7",11
AUS,7986,Phil Darby,Hibberd,aus,17,9,[28],15,93,59,12
GBR,7961,Chris Lewis,Burgin,CAST,20,12,9,[61],126,59,12
AUS,8042,Peter Hewson,Alyn Ovenden,RMYC,11,34,[55],3,"123,7","62,7",14
FRA,7933,Philippe Boite,Jean-Luc Muzellec,CVM,18,[37],14,13,106,63,15
AUS,7978,Geoff Kyrwood,Paul Campbell,,22,[47],17,8,118,65,16
USA,7876,Gary Bodie,Kevil Eley,,19,14,[43],17,117,68,17
AUS,7830,David Porter,Graham Payne,,16,6,31,[91],"167,7","70,7",18
USA,7201,Howard (Howie) Hamlin,Jay Glaser,,25,22,6,[44],"120,7","70,7",19
SWE,7343,Kalle Nilsson,Christian Madsen,GKSS,13,25,16,[32],110,72,20
AUS,7980,Leigh Winter,Stephen Kay,,[53],16,12,31,"136,5","77,5",21
AUS,7487,Gibson,Smith,,[24],24,13,24,109,79,22
USA,7874,Wondolleck,Gilmour,,42,[45],11,10,132,81,23
AUS,8040,M Soulsby,Wayne Soulsby,,[44],44,10,11,133,83,24
GBR,8023,Russell Peters,Bill Masterman,,[57],13,39,14,147,84,25
GBR,8001,Spence,Ward,,[70],5,41,23,162,86,26
DEN,8108,Jørgen Holm,Finn Jensen,,[49],15,36,19,141,88,27
USA,7776,Dickey,George Iverson,,2,38,35,[47],143,88,28
AUS,8036,D Evans,Les Evans,,14,18,42,[43],150,92,29
AUS,7982,Abbott,Craig Smith,,32,[52],20,22,141,92,30
AUS,7828,Richard Gallimore,Jackson,,28,[41],29,20,142,95,31
AUS,7479,Mark Robertshaw,David O’Dowd,,34,19,[58],25,160,96,32
SUI,8101,Urs Scherrer,Roger Fischer,,29,43,8,[57],161,98,33
AUS,8043,Paul Remington,Tony Outteridge,,[62],48,21,12,167,99,34
AUS,7904,David Page,Quinlan,,21,36,25,[39],145,100,35
DEN,8031,Christensen,Fedderse,,[51],29,24,29,157,100,36
AUS,7739,Graham Engert,Stephen Ianna,,35,[58],32,16,165,101,37
GBR,8080,John McLaren,Jack Edwards,,27,11,[57],46,165,102,38
AUS,7985,Mark Engert,Spence,,26,23,[44],37,154,104,39
USA,8015,Nelson,Fry,,[76],28,7,53,188,106,40
DEN,8030,Petersen,Storm,,8,50,33,[91],206,109,41
GBR,8049,N Willmott,P Willmott,,9,[91],22,62,208,111,42
GBR,8021,Napier,Summersgill,,43,31,[53],28,179,120,43
SWE,7485,Anders Lewander,Anders Mårtensson,KSSS,39,46,[66],18,193,121,44
SWE,7507,Pelle Norberg,Claes Boman,BråSS,[55],51,27,27,184,121,45
USA,7069,Klein,McDuff,,30,40,38,[51],183,126,46
DEN,8020,Molleby,Anders Kaempe,,[56],27,37,45,189,127,47
SWE,7922,Ebbe Rosen,Lars Stugemo,MKS,38,33,[47],42,184,131,48
GBR,8051,Peacock,Stewart,,37,30,[56],55,202,140,49
SUI,8099,Roger Oswald,Christian Wiskemann,,46,39,40,[50],199,143,50
AUS,7829,Todd Blatchford,Sullivan,,36,56,[61],36,213,146,51
GER,7860,Becker,Timon Böger,,[76],35,54,40,229,147,52
SUI,8102,Stephan Rueger,Peter Seitz,,[52],42,49,41,208,150,53
AUS,7511,Gallagher,Bruce Blatchford,,[64],61,30,48,227,157,54
AUS,7903,Kim Williams,Bentley,,48,54,[59],38,223,158,55
SUI,8097,Bonjour,Bertherat,,40,26,74,[91],255,158,55
AUS,7983,John Greenlees,James,,[76],57,52,34,247,161,57
SUI,8100,Josef Zuppiger,Daniel Brun,,47,32,[80],64,243,161,57
FRA,7872,Fischer,Serane,,45,[69],69,30,237,162,59
AUS,7938,Neil Long,Delaney,,[69],49,48,54,244,169,60
GBR,8025,Clive Robinson,Malcolm Swallow,,31,60,62,[91],268,171,61
AUS,7332,I. Taylor,Wilson,,50,[70],51,60,255,179,62
FRA,8111,Gilbert Vinches,Ehrardt,,75,[79],34,52,264,179,62
AUS,6374,A Murray,Iain Murray,,[76],53,50,59,253,180,64
GBR,7744,Fells,Kyte,,51,62,[67],49,262,180,64
AUS,7486,Garlick,Peter Jackson,,41,65,[91],58,279,182,66
FRA,8104,Marcel Buffet,Bourdon,,33,[81],70,65,273,186,67
GBR,8028,Richard Lord,Mark Darling,,61,[75],63,56,279,198,68
GER,7622,Carsten,Ralf,,63,59,65,[68],279,205,69
AUS,7252,Gray,Lenton,,71,66,55,[72],288,210,70
AUS,8038,Rod Badgery,Haskew,,[73],64,68,63,292,213,71
FRA,8000,Pelissier,Ces,,76,[83],46,73,302,213,71
AUS,7517,G. Holden,Phil Hincks,,54,76,71,[78],303,219,73
GER,8109,Bernd Kowalzig,Claus Tiedemann,,67,68,[91],67,317,220,74
JPN,7003,Uzawa,Morimoto,,58,[82],64,81,309,221,75
USA,7199,David Penfield,Anderson,,60,71,73,[91],319,222,76
CAN,7354,Renka Gesing,Adam Gesing,,68,67,[84],70,313,223,77
SUI,7330,Jundt,Schiller,,59,[86],78,76,323,231,78
GER,7893,Lenderoth,Ellerbeck,,72,72,[91],71,330,233,79
JPN,7987,Miyamoto,Sato,,[76],74,72,69,315,233,79
GER,7589,Kluck,Schmidt,,76,[87],75,66,328,235,81
CAN,7959,Robin Brown,Per Jacobsen,,76,63,[91],79,333,236,82
AUS,6376,Earle Alexander,Hughes,,65,[77],77,77,320,237,83
USA,8012,Chris Woods,Berg,,66,80,[83],55,308,239,84
SUI,8096,Muller,Huck,,75,78,[82],74,333,245,85
JPN,8089,Hotta,Miyazawa,,76,[84],76,80,340,250,86
GER,7942,Martin Kehr,Michael Jaeschke,,74,85,79,[91],353,256,87
JPN,7730,Junichi Kawabata,Yasuhiro Tominaga,,76,[88],81,82,351,257,88
SUI,8098,Markus Bohren,Beat Waser,,76,73,[91],91,355,258,89
SIN,7480,Hyde,Theobald,,76,89,[91],91,371,274,90
