Nationality,Boat Number,Rorsman,Gast,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
FRA,4747,Yves Pajot,Marc Pajot,,1,9,2,1,6,2,17.7,1
USA,5059,Dennis Surtees,Stephen Owens,,3,4,1,21,5,6,35.4,2
SWE,3316,Björn Arnesson,Göran Andersson,,5,13,14,60,3,5,64.7,3
SWE,5101,Christer Båth,Pelle Båth,,6,3,7,12,DNF,11,65.4,4
GBR,5157,John Loveday,Lewis Dann,,13,5,3,DNF,8,15,69.7,5
GBR,5089,Peter White,John Davies,,2,7,13,13,21,DNF,81,6
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,,26,36,9,26,2,1,82,7
SWE,4315,Karl-Erik Nilsson,Flemming Nilausen,,8,11,15,DNF,4,16,82,8
GBR,5099,Peter Colclough,Stephen Jones,,17,2,14,7,17,51,84,9
GBR,4079,Hugh Bourn,Michael Bryant,,20,8,12,20,10,7,87,10
GBR,4480,Jim Thomson,Chris Labbett,,14,19,4,15,DNF,9,89,11
SWE,3991,Ulf Andersson,Jan Andersson,,33,12,18,4,20,17,99,12
SWE,4949,Magnus Olsson,Göran Olsson,,78,24,DNF,6,1,20,107.7,13
GBR,4289,David White,Neil Boyes,,7,21,6,16,32,22,101.7,14
FIN,5133,Nils Lagerström,H. Mustonen,,18,6,11,31,23,14,101.7,15
GBR,5082,Derek Farrant,Bev Moss,,DNF,31,8,2,16,21,103,16
AUS,4795,Russell Smith,?,,38,1,DSQ,28,18,4,110,17
DEN,4543,Jens Christensen,Jens Thomsen,,29,14,5,14,DNF,36,127,18
DEN,4314,Hans Westh,Nic Thielen,,33,33,38,8,31,3,132,19
GBR,5021,Rob Napier,Lionel Herring,,9,49,39,49,11,8,146,20
HKG,4580,Eric Lockeyear,T. Parsons,,24,39,DSQ,46,7,10,155,21
FIN,4309,C. Johansson,J. Leeve,,25,59,25,9,25,48,162,22
USA,5167,Bill Mains,Dan Ranniger,,32,15,37,17,DNF,31,162,23
GBR,4750,Mike Platts,Mike Maeson,,15,10,21,DNF,13,DNF,165,24
FRA,4915,Francois Fischer,Jacques Chouraki,,DNF,27,35,47,14,23,176,25
SWE,3993,Thomas Haraldsson,Hans Heijl,,11,44,17,3,DNF,DNF,177.7,26
FRA,5032,Reynier,Dury,,4,75,28,52,27,39,178,27
FIN,5135,Kari Wilén,Jyri Wilén,,49,23,29,35,28,40,180,28
RSA,5185,Robin van Rooyen,Ulrich Coblenz,,DNF,50,23,19,26,35,183,29
FRA,4822,Jérôme Langlois,Philippe Sérane,,23,25,43,25,DNF,38,184,30
FRA,4459,Bernard Claudel,Alain Claudel,,DNF,20,34,57,19,27,187,31
SWE,4316,Göran Eckeström,Jan Calvert,,36,26,29,37,DNF,29,187,32
FIN,4660,Mikko Brummer,Rudy Biaudet,,40,DSQ,32,33,24,33,192,33
GBR,4870,Mike Lingwood,J. Labbett,,52,46,38,32,34,13,193,34
USA,5190,William Peaver,Thomas Kirney,,19,47,47,27,DNF,26,196,35
GBR,5231,Larry Marks,A. Smith,,DNF,34,22,10,DNF,29,199,36
SIN,4797,Greg Mellody,?,,30,59,27,23,DNF,30,199,37
FRA,4815,Philippe Blanchard,Jean Marc Blanchard,,16,53,45,63,35,25,204,38
RSA,5186,Brian Downham,Brian Gold,,21,29,26,DNF,DNF,19,204,39
FRA,4913,Christian Boillot,Alain de Roux,,DNF,41,30,65,15,28,209,40
FRA,5001,Jean-Marie Danielou,Jean Desrais,,27,22,31,30,DNF,DNF,216,41
GBR,4984,Michael McIntyre,Peter McIntyre,,22,42,44,34,48,44,216,42
DEN,5070,Jan Eppers,Vögg Mule Thers,,46,45,20,59,DNF,1B,218,43
SWE,4313,Lars Åhren,Kjell Axelsson,,DNF,38,40,24,12,DNF,220,44
SWE,3702,Stefan Sjöström,Reine Andersson,,DNF,18,DNF,11,9,DNF,224,45
FRA,5150,Bruno Levesque,Gilles Levesque,,56,30,DSQ,48,22,42,228,46
FRA,5022,P. Buck,G. Buck,,47,58,62,29,30,37,231,47
GER,4733,Uwe Bremenkamp,Hans Peter Petersen,,45,37,67,42,36,49,239,48
FRA,5151,D. Savelli,F. Savelli,,58,16,60,54,45,43,246,49
RSA,5183,N. Herrmann,D. Herrmann,,53,63,41,39,38,45,246,50
FRA,4881,Pierre Nesseler,Philippe Nesseler,,41,51,42,51,DNF,32,247,51
AUS,5192,Rod Dalgleish,R. Norris,,DNF,67,10,55,DNF,12,253,52
FIN,4506,Mikael Ehnroooth,J. Sandelin,,42,17,33,56,DNF,DNF,254,53
GER,4704,Kay Ewaldsen,Egbert Lechtenböhmer,,10,68,51,64,DNF,34,256,54
