Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Brutto,Netto,Place
DEN,8923,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,HS,2,4,1,3,1,1,2,1,3,18,,1
GER,8903,Boris Herrmann,Julien Kleiner,ZSK,3,5,2,6,2,2,4,3,1,28,,2
GER,8875,Jens Findel,Johannes Tellen,KYC,1,6,3,11,3,3,1,5,2,35,,3
DEN,8620,Jan Saugmann,Morten Ramsbæk,HiS,5,1,OCS 17,1,4,4,3,2,5,42,,4
GER,8916,Stefan Köchlin,Axel Priegann,SKF,4,3,ZPG 17,5,5,5,7,4,6,56,,5
DEN,8826,Tom Bøjland,Jakob Karbo,Farum,8,2,5,8,6,8,5,7,4,53,,6
DEN,8849,Per Larsen,Henrik Andersen,Farum,7,8,6,4,11,10,6,9,DNC 17,78,,7
DEN,8828,Jon Andersen,Lasse B. Andersen,Reers,6,7,OCS 17,10,7,7,13,6,7,80,,8
DEN,8232,Jonas Christiansen,Mikkel Bardram,,9,9,10,12,8,6,10,8,9,81,,9
DEN,8440,Mikkel Christiansen,Mads Christiansen,Aas,10,14,8,2,9,9,11,121,10,194,,10
SWE,8912,Magnus Nilsson,Andreas Carlsson,GKSS,11,11,9,7,12,11,12,10,8,91,,11
DEN,8495,Jesper Legin Larsen,Allan Andreasen,Polytek,12,12,4,9,15,13,9,14,11,99,,12
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,14,10,11,13,13,12,14,11,12,110,,13
DEN,8656,Johnny Rodholm,Henrik Buhl,HS,15,15,12,16,10,14,8,13,14,117,,14
SWE,8787,Lars Bjerke,Tore Reimold,BKSS,13,13,13,14,14,15,15,16,13,126,,15
DEN,8082,Frank Hellensberg,Kenneth Eriksen,Helleup,16,DNF 17,ZPG 17,15,16,DNF 17,16,15,15,144,,16
