land,Segel-Nr.,Steuermann/-frau,Vorschoter/-in,Club/Land,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Points,Points,Place
,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,10
GER,8519,Robert Wisolek,Petra Beier,SVM,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,,,,18
,,,,,,,,,,,,,,,,,19
GER,8530,Alexander von Mertens,Sebastian Dörr,STSC,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,,,21
GER,8518,Nils Burghard,Francesco Sanguino,TSVM,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,23
,,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,,25
