Sail,Number,Helm,Crew,Yacht Name,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Race8,Race9,Race10,Total,Place
USA,9007,Tyler Moore,Geoff Ewenson,License to Kill,1,2,1,[4],1,1,1,2,1,2,12,1
USA,9002,Jesse Falsone,Mike Holt,Toxic Asset,6,1,2,2,2,4,5,1,4,[33/DNF],27,2
USA,8715,Ethan Bixby,Chris Brady,Pressure Drop,9,7,3,1,3,[11],4,3,2,1,33,3
USA,8919,Parker Shin,Simon Gerson,505,2,10,8,6,6,3,[11],8,3,3,49,4
USA,8830,Andrew Buttner,Ramsay Key,Kokatat,4,5,7,9,7,[12],7,5,6,4,54,5
USA,8012,Henry Amthor,Dustin Romey,Bench Mark,8,[12],9,8,4,5,2,11,5,6,58,6
USA,9042,JB Turney,Ned Turney,Stimulus Package,3,11,5,7,10,[15],3,6,13,5,63,7
USA,7879,Zachary Marks,Brian Kamilar,Officespace,10,6,11,5,9,2,8,9,10,[12],70,8
USA,8722,Macy Nelson,Parry Barclay,None,11,3,13,10,[15],9,13,7,7,8,81,9
USA,8930,Ted Ferrarone,Douglas McKeigh,White Boat,5,13,4,12,12,[16],10,10,16,10,92,10
USA,8631,Peter Alarie,Peter Duncan,Blue Steel,13,4,6,3,11,8,9,13,[33/DNS],33/DNS,100,11
USA,9005,Whit Duncan,Chris Burd,BER,7,19,14,11,5,10,6,4,[33/DNF],33/DNS,109,12
USA,8952,Skip Whyte,Jay Smith,Green Lantern,14,8,12,13,8,13,14,[33/DNS],14,33/DNS,129,13
USA,8883,Michael Renda,Matthew Barry,Jane's Addiction,15,[33/DNS],33/DNF,15,14,6,18,14,8,7,130,14
USA,8194,Thomas Kivney,Gordon Russell,Katiebear,21,18,20,16,18,[21],20,12,11,11,147,15
USA,8821,Katherine Long,Stephen Long,Bubbles,25,14,10,18,24,19,[33/DNF],21,9,9,149,16
CAN,8645,Margaret Hurley,Jonathan Clark,Green with Envy,[24],9,21,17,16,23,19,23,18,13,159,17
USA,801,Earle Alexander,"Alexander ""Ali"" Meller",Old Aussies Return,17,15,16,20,21,17,12,15,[33/DNS],33/DNS,166,18
USA,8931,Joerg Esdorn,Christian Antoni,Duesentrieb,18,[33/DNF],25,14,17,22,26,17,15,15,169,19
USA,8939,John Wyles,Gareth Fletcher,Silver Seahorse,16,23,18,21,20,26,16,18,12,[33/DNS],170,20
USA,8439,John Dohan,Jon Henderson,Aryan Nation,12,16,19,25,13,14,22,22,[33/DNF],33/DNS,176,21
USA,8819,Dan Bowman,Loïc Bleuez,Itchy Feet,22,20,17,24,22,18,23,[24],17,14,177,22
USA,8018,Solomon Marini,Duane Delfosse,Marini,23,17,15,19,19,25,15,19,[33/DNF],33/DNS,185,23
USA,8441,Katrin Deinhardt,Olav Schluter,8441,20,"21,5",22,23,23,7,21,20,[33/DNS],33/DNS,"190,5",24
CAN,7605,Renka Gesing,Adam Gesing,CAN7605,19,"21,5",24,26,25,20,17,16,[33/DNS],33/DNF,"201,5",25
USA,8951,Christian Rasmussen,Thomas Rasmussen,8951,[33/DNF],25,23,22,26,24,24,25,33/DNF,33/DNS,235,26
USA,8790,Greg Davis,David Parker,8790,26,24,26,[33/DNS],27,27,25,26,33/DNS,33/DNS,247,27
USA,8987,Ryan Staszko,Thomas Hurwitch,Dirty Bird,[33/DNF],33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,297,32
USA,8641,Nicholas Burke,Nat Taylor,PTL Club,[33/DNF],33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,297,32
USA,7069,Ian O'Leary,,Tiburon,[33/DNC],33/DNF,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,297,32
CAN,8410,Chris Gillies,,Bandersnatch,[33/DNC],33/DNF,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,297,32
USA,8850,Douglas Watson,Gabriel Watson,Dr. Crash,[33/DNF],33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,33/DNC,297,32
