Country,Boat Number,Helm,Crew,Club,Cannes,Campione BS,Walchensee,Neuchâtel,Points Total,Netto,Place
GER,8990,Frieder Achterberg,Wolfgang Stückl,,4,1,3,[83],91,8,1
GER,9011,Michael Daisenberger,Andréas Achterberg,,16,2,1,[83],102,19,2
ITA,8671,Giacinto Piacquadio,Andrea Messina,,39,9,[83],11,142,59,3
SUI,9060,Catherine Houriet,Giles Donzé,,44,5,[83],12,144,61,4
SUI,8954,Florian Stauffer,Philippe Jacot,,2,[83],83,1,169,86,5
GER,8975,Alexander Holzapfel,Stefan Worm,,7,3,[83],83,176,93,6
SUI,8569,René Betschen,Lionel Hollinger,,8,[83],83,3,177,94,7
SUI,8543,Cédric Bart,Laurent Grob,,9,[83],83,2,177,94,8
GER,8862,Robert Wisolek,Clemens Pirker,,[83],10,16,83,192,109,9
GER,8672,Karsten Contag,Guido von Walter,,21,[83],6,83,193,110,10
FRA,8820,Thibault Di Pède,Jordane Lafortune,,26,[83],83,5,197,114,11
FRA,8899,Alain Karadjian,Matthieu Gougeon,,27,[83],83,8,201,118,12
ITA,8743,Marco Giraldi,Kari Lehtonen,,38,7,[83],83,211,128,13
FRA,8695,Jean-Guy Puissant,Bernard le Guen,,30,[83],83,15,211,128,14
GER,8928,Hendrik Schultz,Ute Oberländer,,50,[83],4,83,220,137,15
GER,8875,Katja Müller,Johannes Tellen,,75,[83],2,83,243,160,16
GER,8651,Christian Kellner,Martin Schöler,,1,[83],83,83,250,167,17
DEN,9023,Tom Bøjland,Anders Friis,,3,[83],83,83,252,169,18
FIN,8632,Jari Hamström,Tuomas Laurila,,[83],4,83,83,253,170,19
FRA,8509,Xavier Broise,Nicolas des Jamonières,,[83],83,83,4,253,170,20
GER,9020,Tim Böger,Lars Derschotte Dehne,,5,[83],83,83,254,171,21
GER,9043,Nicola Birkner,Angela Stenger,,[83],83,5,83,254,171,22
GER,9028,Stefan Köchlin,Andréas Achterberg,,[83],6,83,83,255,172,23
FRA,8844,Xavier Broise,Nicolas des Jamonières,,6,[83],83,83,255,172,24
SUI,8613,Gilles Petermann,Marti Ueli,,[83],83,83,6,255,172,25
GER,8725,Maximilian Weiß,Katharina Berggren,,[83],83,7,83,256,173,26
FRA,9024,Claude Gachet,Kleber Valery,,[83],83,83,7,256,173,27
FIN,8320,Tatu Miettinen,Alfredo Quartini,,[83],8,83,83,257,174,28
AUT,8921,Martin Schmidt,Michael Mayrhofer,,[83],83,8,83,257,174,29
GER,8658,Christina Höll,Alexander Wilhelm,,[83],83,9,83,258,175,30
FRA,8909,Francis Doerenbecher,Philippe Wolff,,[83],83,83,9,258,175,31
ITA,8916,Enrico Ciferri,Gabriele Natali,,10,[83],83,83,259,176,32
GER,8562,Fabian Martyson,Achim Funk,,[83],83,10,83,259,176,33
SUI,8614,Valéry Jacot,Corsin Battaglia,,[83],83,83,10,259,176,34
FRA,9050,Hervé de Kergariou,Xavier deTappe,,11,[83],83,83,260,177,35
GER,8463,Mats Westholm,Pedro Bohnenberger,,[83],83,11,83,260,177,36
GER,6610,Stefan Krumm,Uwe Krumm,,[83],83,83,11,260,177,37
GER,8956,Bernd Rasenack,Axel Priegann,,12,[83],83,83,261,178,38
GER,8861,Wolfgang Seifert,Ivonne Seifert,,[83],83,12,83,261,178,39
GER,8670,Theo Kohl,Juliane Kohl,,[83],83,83,12,261,178,40
GER,8989,Andréas Jungclaus,Florian Lautenschläger,,13,[83],83,83,262,179,41
GER,8642,Thoralf Greger,Nils Burghard,,[83],83,13,83,262,179,42
FRA,8276,Jaecky Gregor,Roussie Romanic,,[83],83,83,13,262,179,43
GER,8988,Oliver Thies,Engel Christoph,,14,[83],83,83,263,180,44
GER,8527,Hartmut Weiß,Volker Weiß,,[83],83,14,83,263,180,45
FRA,8896,Antoine Lafortune,Geraud Lafortune,,15,[83],83,83,264,181,46
GER,8579,Hans-Jürgen Rentelmann,Markus Hintz,,[83],83,15,83,264,181,47
GER,7275,Dirk Hütten,Stefan Buschhitter,,75,[83],23,83,264,181,48
FRA,8870,Christian Silvestre,Nicolas Auberger,,17,[83],83,83,266,183,49
GER,8697,Wilfried Stuis,Thorge Holm,,[83],83,17,83,266,183,50
BEL,9066,Robert Roennback,Jourquin Koen,,18,[83],83,83,267,184,51
GER,7921,Jochen Heydolph,Fabian Martyson,,[83],83,18,83,267,184,52
FRA,8752,Nicolas Martin,Julien Lafortune,,19,84,[83],83,269,185,53
GER,8998,Ingo Schneider,Pia Matscheroth-Brodwurm,,[83],83,19,83,268,185,54
FRA,9044,Matthieu Devaux,Philippe Dubuc,,20,[83],83,83,269,186,55
GER,8098,Albrecht Maisch,Frank Letsche,,[83],83,20,83,269,186,56
GER,8590,Jürgen Ziegler,Matthias Pfister,,[83],83,21,83,270,187,57
FRA,8716,Aline Martin,Fabrice Toupet,,22,[83],83,83,271,188,58
GER,6425,Benoit Dehais,Charles Henry Cayrol,,[83],83,22,83,271,188,59
FRA,8515,Nicolas Croce,Florian Faucheux,,23,[83],83,83,272,189,60
GER,8843,Oliver Kraft,Frank Heimburger,,24,[83],83,83,273,190,61
FRA,8847,Muriel Jeanne,Franck Agrapart,,25,[83],83,83,274,191,62
FRA,8687,Jean Philippe Hermieu,Christian Simonnot,,28,[83],83,83,277,194,63
BEL,8486,Pascal Viaud,Alban Viaud,,29,[83],83,83,278,195,64
FRA,8729,Alain Tosello,Yves Niddam,,31,[83],83,83,280,197,65
FRA,8699,Jean-Philippe Ducros,Stanislas Rault,,32,[83],83,83,281,198,66
FRA,8623,Gerard Daugey,Dominique Rouanne,,33,[83],83,83,282,199,67
ITA,8127,Raimo Raita,Juha Nurmela,,34,[83],83,83,283,200,68
FRA,8943,Michel Delsemme,Julien Sohet,,35,[83],83,83,284,201,69
FRA,8711,Jerome Maupay,Francois Caminade,,36,[83],83,83,285,202,70
SUI,8727,Lorenz Nydegger,Martin Nydegger,,37,[83],83,83,286,203,71
FRA,8002,Jean-Philippe Artielle,Philippe Markt,,40,[83],83,83,289,206,72
GER,8861,Wolfgang Seifert,Ivonne Seifert,,41,[83],83,83,290,207,73
FRA,8980,Michel Boiry,Jean-Claude Ancelot,,42,[83],83,83,291,208,74
GER,8999,Karsten Stümpel,Eckart König,,43,[83],83,83,292,209,75
FRA,8748,Ian Pinnell,Gilles Carvallo,,45,[83],83,83,294,211,76
FRA,6245,Lawrence Banahan,Nicolas Claustres,,46,[83],83,83,295,212,77
FRA,8948,Nicolas Guillou,Alain Ferec,,47,[83],83,83,296,213,78
FRA,8509,Ronan Talarmin,Bertrand Lapeyre,,48,[83],83,83,297,214,79
FRA,9024,Kleber Valery,Guillaume Auberger,,49,[83],83,83,298,215,80
FRA,4664,David Denis,Dubruel Denis,,51,[83],83,83,300,217,81
ITA,8944,Luca Manzi,Alfredo Annrje,,52,[83],83,83,301,218,82
