Nation,Sail No,Skipper,Helm,Club,R1 10/4,R2 10/4,R3 10/5,R4 10/5,R5 10/5,R6 10/5,R7 10/5,R8 10/5,R9 10/5,Boat Name,Points,Place
USA,8815,Fritz Lanzinger,,CYC,1,1,2,1,1,1,1,2,DNC5*,(LANZINGER2),10,1
USA,8824,Jen Morgan Glass,,SYC,DNS3,DNC4*,1,3,4,3,2,1,2,505,19,2
USA,8823,Mats Elf,,CYC,DNC3*,2,3,2,3,2,3,3,1,ELF,19,3
USA,8868,Dan Ginther,,PT SAIL RA,DNC3,DNC4*,4,4,2,4,4,4,3,DOOFLICKER,28,4
