Båt,Besättning,Ort,Klubb,Race 1,Race 2,Race 3,Race 4,Race 5,Tot,Plac,
SWE,8655,Krister Bergström,Johan Barne,Tyresö/Göteborg/GKSS,1,-2,1,1,1,4,1
SWE,8232,Ebbe Rosén,Olle Wenrup,Hägersten/MKS,3,5,3,2,-6,13,2
DEN,8622,Tom Böjland,Phillip Christiani,Söborg/FAS,-8,1,5,5,3,14,3
DEN,8656,Jan Möller,Jacob Bojsen-Möller,Köpenhamn/XXX,-11,3,2,4,7,16,4
DEN,8728,Jörgen Schönherr,Anders Kaempe,Köge/KJS,-14,8,4,6,2,20,5
SWE,8719,Jakob Lindvall,Kalle Byrenius,Norrköping/Stockholm/NHSS,6,-7,6,3,5,20,6
DEN,8440,Per Larsen,Henrik Andersen,Köpenhamn/FARU,2,-9,9,9,4,24,7
DEN,8551,Jacob Ernst,Jesper Ernst,Hellerup/HEL,4,6,7,7,-9,24,8
GER,8619,Jens Findel,Johannes Tellen,Wolfsburg/Germany/SVG,5,4,-8,8,8,25,9
SWE,7455,Henrik Gustafsson,Robert Larsson,Örebro/ÖKF,10,11,10,11,(DNS),42,10
FIN,8056,Raimo Raita,Antti Raita,Tammerfors/VENE,9,13,13,(OCS),10,45,11
DEN,8609,Martin Friderichsen,Thomas Kildegård,Hobro/ÅSK,7,10,12,(DNS),DNS,46,12
SWE,7956,Johan Arvedson,Peter Eriksson,Åhus/MSS,13,12,11,10,(OCS),46,13
FIN,8582,Arno Parviainen,Laurin Parviainen,Helsinki,12,14,14,(DNF),11,51,14
