Nations,Sail NO,Skipper,,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Race 12,Boat,Total,Pos
USA,9106,Mike Martin,Adam Lowry,StFYC,2,1,4,[10],1,3,2,1,1,[5],1,3,Mike’s Boat,19,1
USA,89*,Stuart McNay,Caleb Paine,Beverly yc/New York yc,1,2,3,1,[8],2,[4],3,4,1,2,1,,20,2
USA,9003,Mike Holt,Rob Woelfel,Santa Cruz YC,5,[9],1,5,2,1,1,5,2,[6],4,4,IO Integration,30,3
USA,9160,Howard Hamlin,Jeff Nelson,NHYC/ABYC,3,3,8,2,[19],5,6,4,6,[9],5,5,,47,4
USA,8854,Craig Thompson,Jb Turney,Unaffiliated,[16],5,9,[28],3,9,5,7,11,4,3,7,Thompson Boat Works,63,5
USA,8856,Ethan Bixby,Ted Huebner,SPSC,6,7,11,4,[13],12,[15],11,7,2,9,9,Science Project,78,6
USA,9102,Douglas Hagan,Paul Von Grey,PCYC,11,[19],2,3,10,10,8,10,10,8,[16],11,Panic,83,7
USA,8965,Mike Zani,Mike Mills,Common Fence Point Dinghy Club,[34/DNF],[20],7,6,5,6,12,9,9,13,11,6,Schnitzel,84,8
GBR,9238,Ian Pinnell,Carl Smit,Eastport Yacht Club,4,12,15,19,11,4,[20],[34/DNS],3,12,13,8,,101,9
GER,9169,Tim Böger,Finn Böger,Hamburg Sail Club,9,[18],12,7,14,16,13,12,[18],15,10,2,FLETEC.io,110,10
USA,9004,Eric Anderson,Nic Baird,StFYC/YCYC,10,4,5,8,4,7,3,2,[34/DNS],[34/DNS],34/DNS,34/DNS,N = 1,111,11
USA,8576,Mike Punnett,Richard Mundell,SISA,13,13,16,17,12,[34/DNF],7,6,8,3,17,[22],Why Not...,112,12
USA,9216,Robert Tennant,Stephen Bourdow,RVic YC,[19],15,19,[26],9,8,10,8,5,14,6,19,,113,13
IRL,8987,Peter Scannell,John Dunlea,Monkstown Bay Sailing Club,15,14,10,15,7,13,[17],15,12,[20],7,10,Lookadatla,118,14
USA,9186,Keith Longson,David Kirkpatrick,Ida Lewis YC/Sail Newport,14,[21],[22],9,15,15,9,14,14,10,8,13,Uncle Drew,121,15
USA,9041,Henry Amthor,Dustin Romey,Hampton YC,7,16,[20],[23],6,11,11,16,16,16,14,16,Benchmark,129,16
USA,8786,Luke Ingalls,John Ingalls,Sakonnet YC,8,6,6,11,17,[34/DNF],16,13,17,7,[34/DNF],34/DNS,Barbara,135T,17
USA,9173,Sterling Spruill,,Hampton YC,[21],8,18,12,16,14,[19],19,13,11,12,12,Trouble,135T,18
USA,8937,Tim Murphy,Paul Pihl,None,17,11,14,13,[22],18,18,[21],15,18,18,21,,163,19
USA,8931,Elsa Balton,Blaine Pedlow,CBC/StFYC,22,22,13,14,18,17,14,17,[34/DNF],17,15,[34/DNS],SS/LJ,169,20
USA,7346,Andrew Jones,,SPYC,[25],17,17,22,25,19,21,18,19,[34/DNS],19,17,,194,21
USA,8808,Ted Bjerregaard,Matt Hersey,Bristol Yacht Club,20,10,29,16,20,22,23,20,[34/DNF],[34/DNS],22,14,Giovanni Giorgio,196,22
USA,8819,Kyle Pfrang,,Hampton Yacht Club,23,23,25,27,21,20,[34/DNF],[34/DNS],20,21,20,15,Schneller,215,23
USA,8838,Kaila Pfrang,John Ped,Hampton Yacht Club,26,[29],21,18,27,24,24,24/TLE,[34/DNS],19,24,18,,225,24
USA,8830,Nathaniel Plant,Eric Mann,spyc,24,24,24,24,24,23,[25],24/TLE,[34/DNS],22,23,23,505,235,25
USA,9138,Marek Balinski,Alex Byczko,OHCC,29,27,[34/DNF],[34/DNF],26,25,22,22,21,34/DNS,21,20,Plastic Surgery Disaster,247,26
USA,8814,Lin Robson,,SPSC,12,25,27,20,23,21,26,[34/DNS],[34/DNS],34/DNS,34/DNS,34/DNS,Sojourner,256,27
USA,8822,David Burchfiel,,Carolina Sailing Club,27,30,26,25,28,[34/DNF],[34/DNS],34/DNS,34/DNS,23,25,24,Wicked Pissa,276,28
USA,8841,M. Ashley Love,Ali Meller,SSA,18,26,23,21,[34/DNS],[34/DNS],34/DNS,34/DNS,34/DNS,34/DNS,34/DNS,34/DNS,,292,29
USA,8593,TJ O'Brien,Peter Hale,Lake Norman Yacht Club,29,28,28,29,[34/DNS],[34/DNF],34/DNS,34/DNS,34/DNS,34/DNS,34/DNF,34/DNF,Yellow Boat,317,30
USA,9172,Paul Scoffin,,MBYC,[34/DNF],[34/DNF],34/DNF,34/DNF,34/DNS,34/DNS,34/DNS,34/DNS,34/DNS,34/DNS,34/DNS,34/DNS,Tamaki,340T,31
USA,9091,Reeve Dunne,Ted Conrads,None,[34/DNF],[34/DNF],34/DNF,34/DNF,34/DNS,34/DNS,34/DNS,34/DNS,34/DNS,34/DNS,34/DNS,34/DNS,,340T,31
USA,9095,Macy Nelson,,West River,[34/DNF],[34/DNF],34/DNF,34/DNF,34/DNS,34/DNS,34/DNS,34/DNS,34/DNS,34/DNS,34/DNS,34/DNS,Highway 95 Revisited,340T,31
