,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,Total,Nett,Rank
RSA,8789,Alexander Ham,Warwick Ham,PSC,1,1,1,(2.0),1,1,1,8,6,1st
RSA,8471,James Largier,Richard Hutton-Squire,TSC,2,2,(DNC),1,2,2,2,16,11,2nd
RSA,8091,Courtney Ballantyne,Daniel Snyman,VYC,(DNC),4,2,3,4,4,3,25,20,3rd
RSA,4437,Grant Ballantyne,Groenewald,VYC,3,3,(DNC),DNC,3,3,DNC,27,22,4th
