Nation,Boat,Helm,Crew,Club,Race 1,Points,Place
FRA,4420,Nicolas Loday,Nicolas Fedorenko,,,,1
FRA,4390,Bruno Levesque,Jean-Luc Bapst,,,,2
FIN,4335,Kari Wilén,Jyri Wilén,,,,3
GBR,4382,Derek Farrant,Bev Moss,,,,4
GBR,4450,John Loveday,,,,,5
SWE,3991,Ulf Andersson,,,,,6
SWE,3956,Bennett Thörner,,,,,7
SWE,4316,Stefan Sjostrom,,,,,8
FRA,3596,Patrick Haegeli,,,,,9
GBR,4321,Robert Napier,Geoff Rae,,,,10
GBR,4083,John Turngoose,,,,,15
GBR,4079,Hugh Bourn,,,,,16
