,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,,,,Platz
SUI,8954,Florian Stauffer,Philippe Jacot,CVN,3,2,1,1,1,1,2,3,1,,1
SUI,8543,Cedric Bart,Veli Marti,CNB,2,7,3,2,2,2,3,2,2,,2
FRA,8844,Xavier Broise,Nicolas Des Jaminieres,,1,1,2,3,4,5,1,4,3,,3
SUI,8569,Rene Betschen,Lionel Hollinger,CNB,9,4,4,4,3,7,4,1,4,,4
SUI,8613,Gilles Petermann,Laurent Grob,BT/CNV,4,3,5,6,6,3,5,OCS,5,,5
FRA,8270,Claude Gachet,Kleber Valery,YCG,5,5,7,11,5,6,8,6,12,,6
SUI,8077,Catherine Houriet,Gilles Donze,,16,10,9,14,10,4,12,8,11,,7
ITA,8743,Marco Giraldi,Paolo Corbellini,UVM,15,6,8,10,13,11,11,13,8,,8
BEL,8880,Geert de Pauw,Koen Jourquin,NWVN,19,11,12,12,14,19,7,7,6,,9
SUI,8614,Valery Jacot,Corsin Battaglia,CVN,7,12,10,9,15,14,15,11,10,,10
GER,8658,Christina Höll,Alexander Wilhelm,HSC,18,15,15,8,12,9,13,14,13,,11
FRA,7941,Veronique Brenet,Jean-Pierre Peter,ACAL,12,8,6,5,7,8,DNC,DNC,DNC,,12
FRA,8348,Mathieu Ingrand,Stanislas Rault,,6,9,13,16,16,DNF,16,18,7,,13
SUI,8636,Othmar Zoller,Daniela Zoller,SNC,DNC,DNC,DNC,7,8,10,10,5,14,,14
GER,8530,Alexander von Mertens,Jean-Marie Tinembart,StSC,17,13,17,20,24,15,9,9,9,,15
FRA,8748,Samuel Carvallo,Gilles Carvallo,CNHS,8,18,14,22,11,22,19,16,15,,16
GER,9021,Georg Geyer,Claudia Conrads,,14,14,16,25,17,17,17,12,19,,17
FRA,8748,Frank Agrapart,Franz Agrapart,,DNC,DNC,DNC,13,19,12,6,10,18,,18
GER,8598,Anna Höll,Bernd Heinisch,,11,19,19,18,20,18,18,15,16,,19
FRA,8321,Yann Plathier,Rzmi Jacquenoud,,13,16,18,19,9,16,20,DNC,DNC,,20
FRA,8980,Michel Boiry,Jean Philippe Gastaud,CVP,10,17,11,23,21,20,DNC,DNC,DNC,,21
FRA,8449,Bernard Pfeiffert,Didier Pfeiffert,,DNC,DNC,DNC,17,18,13,14,DNC,17,,22
FRA,7541,Wenceslas Dieuzy,Wojciech Butkiewicz,,20,21,20,21,22,21,22,17,DNC,,23
SUI,8426,Lydia Feller,Samuel Ramp,ZYC,DNF,DNC,DNC,15,23,DNC,21,19,DNC,,24
FRA,7293,Gonzag de Monteil,David de Monteil,,OCS,20,DNF,24,25,23,DNC,DNC,DNC,,25
