Nation,SAIL #,Skipper,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,TOTAL,LESS,FINAL,POS'N
CAN,7605,Renka Gesing,Adam Gesing,,0.75,0.75,0.75,0.75,0.75,4,5*,12.75,5,7.75,1
CAN,7823,Balinski,Hoffer,,9 DNS*,4,3,2,2,0.75,0.75,21.5,9,12.5,2
CAN,8288,Ross,McClachlan,,4,5,6*,3,4,3,2,27,6,21,3
CAN,8351,Smith,Smith,,7*,6,4,5,3,2,3,30,7,23,4
CAN,7857,Hennessy,Angers,,6*,3,5,4,5,5,4,32,6,25,5
CAN,8073,Agrell,Doell,,2,2,2,9 DNS*,9 DNS,9 DNS,9 DNS,42,9,33,6
CAN,7793,Shaeffer,Dave Seiple,,3,7,7,6,6,6,9 DNS*,44,9,35,7
CAN,6833,Fernie,Fernie,,5,9 DNS*,9 DNS,9 DNS,9 DNS,9 DNS,9 DNS,59,9,50,8
