Nation,Boat No,Helm,Crew,Club,Race 1,Points,Position
CAN,8264,Jeff Boyd,Gifford,,,,1
CAN,7150,Rzucildo,Torrie,,,,2
CAN,6910,Bryant,Hughes,,,,3
CAN,7796,Adams,Ashby,,,,4
CAN,8233,Bertrand,Molimard,,,,5
CAN,0,Gilles,Bush,,,,6
CAN,6201,Bernard Péro,Tabardel,,,,7
CAN,0,Gesing,Gesing,,,,8
CAN,7950,Louis Samson,Beaudoin,,,,9
CAN,0,Larbaletrier,Riffaud,,,,10
