Segelnummer,,Besättning,,Klubb,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Netto,Placering
SWE,8801,Peter Bökmark,Martin Persson,BKSS,1,2,2,[4],1,10,6,1
SWE,8859,Tomas Berg,Urban Lagnéus,SS Kaparen,4,3,1,2,[5],15,10,2
SWE,9107,Fredrik Hansson,Sven Flood,BKSS,3,[5],5,1,2,16,11,3
SWE,9181,Malin Broberg,Johan Röök,BKSS,[5],1,3,3,4,16,11,4
SWE,9038,Mikael Gustafsson,Tore Reinhold,BKSS,2,6,[8],8,3,27,19,5
SWE,9117,Fredrik Molander,Thomas Jaxing,BKSS,6,8,4,5,[DNF],34,23,6
SWE,9171,Martin Fridh,Mats Dahlander,RJK,[10],4,9,6,6,35,25,7
SWE,8787,Anders Johansson,Anders Barne,SSVÄ,7,7,6,7,[DNF],38,27,8
SWE,8945,Tord Lawner,Tomas Gustafsson,BKSS,8,10,7,9,[DNF],45,34,9
SWE,8917,Jesper Fowelin,Jonas Wising,ÖlSS,9,9,10,10,[DNF],49,38,10
