Country,Boat NO,Helm,Crew,Club,Cannes,Campione,Tutzing,Neuchâtel,Points,Place
GER,8728,Martin Görge,Rainer Görge,,1,,,,1,0
FRA,8902,Alain Boite,Fabrice Toupet,,2,,,,2,0
GBR,9032,Ian Pinnell,Ian Mitchell,,3,,,,3,0
GER,8651,Christian Kellner,Klaus Stammerjohann,,4,,,,4,0
GBR,9012,Andy Smith,Tim Needham,,5,,,,5,0
FRA,8908,Bertrand Loyal,Xavier deTappe,,6,,,,6,0
SUI,8569,René Betschen,Lionel Hollinger,,7,,,,7,0
SUI,8954,Florian Stauffer,Valéry Jacot,,8,,,,8,0
GER,8669,Boris Herrmann,Julien Kleiner,,9,,,,9,0
GER,8901,Michael Daisenberger,Wolfgang Stückl,,10,,,,10,0
GER,8975,Alexander Holzapfel,Stefan Worm,,11,,,,11,0
SUI,8543,Cédric Bart,Marti Ueli,,12,,,,12,0
FRA,8844,Xavier Broise,Nicolas des Jamonières,,13,,,,13,0
GER,8928,Hendrik Schultz,Ute Oberländer,,14,,,,14,0
SUI,8613,Gilles Petermann,Laurent Grob,,15,,,,15,0
GER,8990,Frieder Achterberg,Arne Lanatowitz,,16,,,,16,0
FIN,8768,Jukka Nieminen,Tuomas Laurila,,17,,,,17,0
GER,8989,Andréas Jungclaus,Axel Priegann,,18,,,,18,0
FRA,8820,Serge Gubri,Thibault Di Pède,,19,,,,19,0
FRA,8752,Nicolas Martin,Julien Lafortune,,20,,,,20,0
FRA,7941,Véronique Brenet,Jean-Pierre Peter,,21,,,,21,0
FRA,8683,Antoine Lafortune,Geraud Lafortune,,22,,,,22,0
FIN,8466,Sampsa Hyysalo,Antti Salonen,,23,,,,23,0
GER,8777,Stefan Schollmayer,Franscisco Sanguino-Petersen,,24,,,,24,0
ITA,8916,Enrico Ciferri,Gabriele Natali,,25,,,,25,0
FRA,8515,Nicolas Croce,Florian Faucheux,,26,,,,26,0
GER,9028,Stefan Köchlin,Andréas Achterberg,,27,,,,27,0
FRA,9024,Claude Gachet,Kleber Valery,,28,,,,28,0
FRA,8509,Robert Ronnback,Jordane Lafortune,,29,,,,29,0
FRA,8950,Hervé de Kergariou,Basile Géron,,30,,,,30,0
GER,8672,Karsten Contag,Guido von Walter,,31,,,,31,0
FRA,8895,Matthieu Devaux,Philippe Dubuc,,32,,,,32,0
FRA,8870,Christian Silvestre,Nicolas Auberger,,33,,,,33,0
FRA,8899,François de Lisle,Hervé Brillaud,,34,,,,34,0
GER,9029,Jürgen Waldheim,Thomas Jung,,35,,,,35,0
BEL,8486,Pascal Viaud,Jourquin Koen,,36,,,,36,0
FIN,8320,Kaj Lindfors,Tatu Miettinen,,37,,,,37,0
FRA,8402,Morgan Aussel,Frederic Roucayrol,,38,,,,38,0
GER,8473,Oliver Kraft,Frank Heimburger,,39,,,,39,0
FRA,8847,Muriel Jeanne,Franck Agrapart,,40,,,,40,0
SUI,8727,Lorenz Nydegger,Martin Nydegger,,41,,,,41,0
FRA,887,Aline Martin,Loic Brillaud,,42,,,,42,0
ITA,8743,Marco Giraldi,Paolo Corbellini,,43,,,,43,0
FRA,8695,Jean-Guy Puissant,Bernard le Guen,,44,,,,44,0
ITA,8882,Roberto Loce,Antonio Binacchi,,45,,,,45,0
GER,8849,Pedro Bohnenberger,Volker Böhringer,,46,,,,46,0
FRA,9010,Gilles Carvallo,Julien Letissier,,47,,,,47,0
FRA,8348,Mathieu Ingrand,Gaetan Finet,,48,,,,48,0
FRA,8541,Elsa le Formal,Sophie Biecheler-Fiocconi,,49,,,,49,0
BEL,8536,Alain Tosello,Harald Van Exem,,50,,,,50,0
FRA,8773,Philippe Markt,Gaël Conversy,,51,,,,51,0
FRA,8980,Michel Boiry,Yves Treboz,,52,,,,52,0
FRA,8704,Elisabeth Neidhart,Bertrand Lapeyre,,53,,,,53,0
FRA,8729,Yves Niddam,Thierry Gresle,,54,,,,54,0
ITA,8944,Luca Manzi,Alfredo Annese,,55,,,,55,0
FIN,8873,Ari Peltoniemi,Jussi Kuosa,,56,,,,56,0
FRA,8949,Philippe Duquesne,David Denis,,57,,,,57,0
FRA,8623,Matthieu Gougeon,Dominique Rouanne,,58,,,,58,0
GER,8697,Wilfried Stuis,Pia Matscheroth-Brodwurm,,59,,,,59,0
FRA,9019,Robert Lehmann,Bernard Edel,,60,,,,60,0
GER,8463,Mats Westholm,Jesper Fowelin,,61,,,,61,0
GER,9021,Georg Geyer,Claudia Conrads,,62,,,,62,0
FRA,8687,Jean Philippe Hermieu,Christian Simonnot,,63,,,,63,0
GER,8751,Andreas Roller,Maximilian Roller,,64,,,,64,0
FRA,6245,Lawrence Banahan,Nicolas Claustres,,65,,,,65,0
GER,8991,Stefan Schmidt,Horst Sjuts,,66,,,,66,0
GER,8666,Michael Kurzeja,Julius Jacoby,,67,,,,67,0
FRA,8640,Thomas Chartier,Jean-Baptiste Kopecky,,68,,,,68,0
GER,8424,Claus-Michael Lehr,Christine Schaal-Lehr,,69,,,,69,0
FRA,8748,Samuel Carvallo,Sebastien Rauly,,70,,,,70,0
FRA,8008,Vincent Dewaele,Rose Marie Savio,,71,,,,71,0
