Nation,Sail no,Helm,Crew,,Cannes,Riva del Garda,Kiel,Aarhus,Total,Nett,Rank
DEN,8962,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,,(205 DNC),4,3,2,214,9,1
DEN,8964,Jan Saugmann,Morten Ramsbæk,,(205 DNC),3,2,6,216,11,2
GBR,9032,Ian Pinnell,Ian Mitchell,,3,5,(205 DNC),3,216,11,3
GER,8728,Martin Görge,Rainer Görge,,1,(205 DNC),4,10,220,15,4
GER,8651,Christian Kellner,Klaus Stammerjohann,,4,2,-9,11,26,17,5
GER,8992,Claas Lehmann,Leon Oehme,,(205 DNC),7,10,9,231,26,6
GBR,9012,Andy Smith,Tim Needham,,5,8,(205 DNC),17,235,30,7
SUI,8954,Florian Stauffer,Philippe Jacot,,8,21,(205 DNC),13,247,42,8
SUI,8543,Cedric Bart,Ueli Marti,,12,12,(205 DNC),19,248,43,9
GER,8875,Jens Findel,Johannes Tellen,,(205 DNC),1,21,29,256,51,10
GER,8975,Alexander Holzapfel,Stefan Worm,,11,19,(205 DNC),24,259,54,11
FRA,8844,Xavier Broise,Nicolas Des Jamonieres,,13,-25,16,35,89,64,12
ITA,8916,Enrico Ciferri,Gabriele Natali,,25,13,(205 DNC),40,283,78,13
SUI,8613,Gilles Petermann,Laurent Grob,,15,22,(205 DNC),42,284,79,14
GER,8989,Andreas Jungclaus,Axel Priegann,,18,(205 DNC),22,46,291,86,15
FIN,8466,Sampsa Hyysalo,Antti Salonen,,23,35,(205 DNC),33,296,91,16
DEN,8828,Jon Andersen,Lasse Andreasen,,(205 DNC),29,25,37,296,91,17
FIN,8768,Jukka Nieminen,Tuomas Laurila,,17,33,(205 DNC),59,314,109,18
FRA,8948,Nicolas Guillou,Alain Ferec,,(205 DNC),32,37,79,353,148,19
ITA,8743,Marco Giraldi,Paolo Corbellini,,43,53,(205 DNC),98,399,194,20
GER,9021,Georg Geyer,Claudia Conrads,,62,(205 DNC),36,102,405,200,21
GER,9027,Dr.Wolfgang Hunger,Julien Kleiner,,(205 DNC),205 DNC,1,1,412,207,22
FRA,8902,Philippe Boite,Fabrice Toupet,,2,-44,6,205 DNC,257,213,23
GER,9035,Stefan Böhm,Roos Gerald,,(205 DNC),205 DNC,11,7,428,223,24
