Nation,SailNo,HelmName,Crew,Club,R1,R2,R3,R4,Total,Nett,Rank
SWE,8666,Magnus Nilsson,,TÄBS,(2),1,1.5,1,5.5,3.5,1st
SWE,8974,Malin Broberg,Johan Röök,GKSS,1,2,(3),2,8,5,2nd
SWE,9038,Lars Bjerke,Tore Reinhold,BKSS(BJÖRLANDAKILESS),3,4,1.5,(9 DNC),17.5,8.5,3rd
SWE,8945,Tord Lawner,Tomas Gustafsson,BKSS,4,3,(9 DNC),3,19,10,4th
SWE,8917,Jesper Fowelin,Alian Dupuis,ÖLSS,6,6,4,(9 DNF),25,16,5th
SWE,8585,Per Wennersten,Pia Wennersten,TJUVKILSKAPPSEGLINGSKLUBB,5,5,(9 DNC),9 DNC,28,19,6th
SWE,8581,Frank Bach,Per-Anders Hallberg,SSN/LJSS,(9 DNC),9 DNC,9 DNC,9 DNC,36,27,7th
SWE,8257,Fredrik Molander,Tomas Jaxing,LDSS,(9 DNC),9 DNC,9 DNC,9 DNC,36,27,7th
