Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Place
USA,0,Howard Hamlin,Geoff Nelson,,6*,1,1,3,2,2,2,11,1
USA,0,Nick Adamson,Steve Bourdow,,3,6*,2,1,5,1,1,13,2
USA,0,Carissa Harris-Adamson,Andy Zinn,,1,2,3,5*,3,4,4,17,3
USA,0,Kevin Taugher,Jon Bell,,2,12 OCS*,6,2,4,3,6,23,4
USA,0,Mike Holt,Carl Smit,,7*,5,5,4,1,5,5,25,5
USA,0,Doug Hagan,Rob Woelfel,,4,3,4,7*,6,6,3,26,6
GER,0,Hasso Plattner,Peter Alarie,,5,4,7,6,7,7,10*,36,7
USA,0,Pierre Jearingard,Paul Von Grey,,8,7,8,8,10*,8,7,46,8
FRA,0,Hubert Guy,Fred Courouble,,9,8,11*,9,8,10,8,52,9
USA,0,Gary Lee,Don Downing,,10,9,9,10*,9,9,9,55,10
USA,0,Channing Hamlet,Liebat,,11,10,10,12 DNF*,11,11,11,64,11
