Nation,Boat No,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Total,w/drop,Place
USA,8081,Nick Adamson,Steve Bourdow,,1,1,2*,2,1,1,1,1,10,8,1
USA,8822,Mike Holt,Carl Smit,,3*,2,3,1,2,3,2,3,19,16,2
USA,7771,Kevin Taugher,Jon Bell,,2,3,1,4*,3,4,3,2,22,18,3
USA,8830,Ramsay Key,Drew Buttner,,5,11*,5,3,5,8,5,5,47,36,4
USA,8554,Doug Hagan,Stuart Park,,4,5,18 DNC*,18 DNC,6,2,4,4,61,43,5
USA,8731,Thad Lieb,Mike Smith,,8,7,4,6,9*,7,8,9,58,49,6
USA,883,Nige Oswald,Rob Woelfel,,6,4,18 DNC*,18 DNC,4,6,7,7,70,52,7
CAN,8442,Jeff Boyd,Steve Adolph,,7,6,10,7,18 DNC*,9,6,14,77,59,8
USA,8851,Keith Davids,John Berquist,,9,9,6,18 DNC*,8,12,14,6,82,64,9
USA,8681,Earle Alexander,Pip Pearson,,11,10,18 DNC*,9,14,11,11,10,94,76,10
FRA,8786,Hubert Guy,Fred Couroublos,,14,8,11,18 DNC*,13,18 DNC,9,8,99,81,11
USA,8084,Pierre Jean,Girard Rob Waterman,,18 DNC*,18 DNC,8,8,12,5,18 DNC,18 DNC,105,87,12
USA,7873,Mark Dowdy,Jason Bright,,16,18 DNC*,18 DNC,10,7,13,13,12,107,89,13
USA,8813,Mattias Kennerknecht,Nico Van Der Kolk,,15,12,18 DNC*,5,18 DNC,18 DNC,10,13,109,91,14
USA,7156,Aaron Ross,Chad Gray,,10,13,7,18 DNC,11,14,18 DNC,18 DNC,109,91,15
USA,8850,Douglas Watson,Chris Watson,,12,18 DNC*,18 DNC,18 DNC,10,10,12,11,109,91,16
USA,8821,Sarah McNaboe,Stephen Long,,13,14,9,11,15*,15,15,15,107,92,17
