nat,sailno,Helm,Crew,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Total,Nett,Rank
USA,9072,Mike Holt,Rob Woelfel,Santa Cruz Yacht Club,1,4,2,5,2,4,-7,1,26,19,1
GBR,9240,Nathan Batchelor,Sam Pascoe,Tynemouth,3,2,5,1,4,3,-8,5,31,23,2
GER,9121,Hofmann Jan-Philipp,,Düsseldorfer Yachtclub,9,-10,4,4,1,5,10,3,46,36,3
GBR,9238,Ian Pinnel,Carl Smit,,-27,7,1,7,8,11,1,9,71,44,4
USA,9153,Howard Hamlin,Jeff Nelson,ABYC / NHYC,20,9,(35.0 UFD),2,6,2,3,4,81,46,5
ESP,9210,Michael Quirk,Tim Needham,club de vela de palamos,7,11,10,6,5,7,2,(35.0 DNC),83,48,6
GER,9185,Stefan Böhm,Gerald Roos,SCV,4,-24,8,10,3,10,14,6,79,55,7
FRA,9220,Philippe Boite,Marin Carnot,YCIF,14,-22,7,11,10,15,6,2,87,65,8
GER,9070,Stefan Koechlin,Andreas Achterberg,Segelclub Schlochsee,2,5,13,19,11,-24,9,8,91,67,9
GBR,9214,Andy Smith,Stewart Mears,UCSC,17,15,3,-27,14,13,5,7,101,74,10
GER,9169,Tim Böger,Markus Schöner,Hamburg Sail Club,11,21,12,3,16,12,-25,12,112,87,11
AUS,9221,Brown,Simon Jon Burt,One sailing boat,16,6,16,-31,22,6,13,10,120,89,12
GER,9090,Christian Kellner,Martin Schoeler,HSC,-26,13,9,24,12,8,11,17,120,94,13
GER,9198,Lena Stückl,Johannes Tellen,,(35.0 DNC),35.0 DNC,11,13,7,1,12,16,130,95,14
GBR,9093,Terry Scutcher,Harry Briddon,,(35.0 DSQ),8,25,9,9,9,4,35.0 DNC,134,99,15
GBR,9178,Chris Lewns,Jack Kilburn,MBSC,15,14,17,16,13,(35.0 DNC),18,13,141,106,16
GER,9197,Nicola Birkner,Angela Stenger,VSaW,10,1,19,17,25,20,(35.0 RET),23,150,115,17
GER,9133,Frieder Achterberg,Wolfgang Stueckl,DTYC,18,20,6,20,15,-21,16,21,137,116,18
GER,9127,Frederik Schaal,Felix Diesch,Segel- und Motorboot Club Überlingen e.V.,22,12,-29,22,17,14,15,14,145,116,19
GER,9135,Biederer Jens,Kindermann Johannes,Hamburger Segel-Club e.V.,12,3,20,23,23,-27,20,20,148,121,20
GER,9195,Nils Henning Hofmann,Dirk Penno,Dusseldorf Yachtclub,24,-26,15,14,24,16,21,11,151,125,21
FRA,9218,Bertrand Commeil,Charles Commeil,s r la rochelle,6,-23,21,21,21,17,19,22,150,127,22
GER,9182,Holzapfel Alexander,Finn Boeger,Le vin nous portera,(35.0 DNC),35.0 DNC,18,12,18,19,17,15,169,134,23
POL,9170,Karol Milewski,Bartosz Milewski,Stal Gdynia,-29,18,14,15,20,22,24,24,166,137,24
POL,8875,Dariusz Konopczak,,CZ Szczecin,19,25,-30,8,26,26,23,19,176,146,25
GER,9101,Alexander Swade,Timon Treichel,Düsseldorfer Yachtclub,5,16,24,25,-27,25,27,25,174,147,26
GER,9000,Julia Trusen,Thorsten Pösch,SCSZ,8,19,23,18,-31,23,30,28,180,149,27
AUS,9134,Robinson,Henson,,25,27,22,-30,19,18,22,18,181,151,28
SUI,9060,Catherine Houriet,Gil Donze,CRG,13,17,27,26,29,29,29,(35.0 DNC),205,170,29
FRA,9219,Elisabeth Neidhart,Pierre Gorremans,YCIF,23,-30,26,28,30,28,26,26,217,187,30
GER,8672,Hütten Dirk,Von Walter Guido,SGR Riegsee,21,29,(35.0 DNC),35.0 DNC,32,31,28,27,238,203,31
GER,8934,Beier Frank,Ritter Hubertus,Segel Club Laacher See Mayen,28,28,28,29,28,30,(35.0 DNC),35.0 DNC,241,206,32
GBR,8867,Patrick Mcgale,Chris Pearson,QUEEN MARY SAILING CLUB,30,31,(35.0 DNC),35.0 DNC,35.0 DNC,35.0 DNC,35.0 DNC,35.0 DNC,271,236,33
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,(35.0 DNC),35.0 DNC,35.0 DNC,35.0 DNC,35.0 DNC,35.0 DNC,35.0 DNC,35.0 DNC,280,245,34
