Narion,Vene,,Miehistö,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Pisteet,Sija
FIN,8466,Hyysalo,Salonen,,2,3,3,1,2,-7,11,1
FIN,8812,Pentti,Toivanen,,-4,2,2,3,4,1,12,2
FIN,8632,Hamström,Laurila,,1,1,-7,4,1,6,13,3
FIN,8678,Laitinen,Castren,,5,4,4,-7,5,5,23,4
FIN,8923,Merikallio,Wolontis,,(DNF),9,1,9,3,2,24,5
FIN,8873,Peltoniemi,Elovirta,,3,(DNF),5,17,8,3,36,6
FIN,8924,Raita,Nurmela,,(DNF),8,14,5,7,4,38,7
FIN,7784,Held,Vennonen,,10,6,6,6,(DNF),11,39,8
FIN,8620,Wikar,Kuosa,,7,5,12,-14,12,12,48,9
FIN,8057,Lindfors,Halonen,,(DNF),DNS,9,2,10,9,51,10
FIN,8582,Kienanen,Kauppinen,,(DNF),DNS,10,10,6,8,55,11
FIN,7824,Kuosa,Suonpää,,9,7,-16,15,13,13,57,12
FIN,8659,Maisniemi,Dillemuth,,(DNS),DNS,8,12,9,10,60,13
FIN,8053,Ebeling,Heimsch,,(DNF),DNS,11,8,DNS,DNS,82,14
FIN,8736,Alitalo,Heljo,,DNF,DNS,15,16,11,-44,84,15
FIN,7956,Liljander,Saren,,(DNF),DNS,18,18,14,14,85,16
FIN,7922,Martonen,Nylund,,(DNF),DNF,13,11,DNS,DNS,87,17
FIN,8768,Nieminen,Lehtonen,,6,(DNF),DNS,DNS,DNS,DNS,90,18
FIN,8561,Laiho,Niemitalo,,8,(DNF),DNS,DNS,DNS,DNS,92,19
FIN,8746,Mäkelä,Vastamäki,,(DNF),DNS,17,13,DNS,DNS,93,20
