Nation,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat name,Points,Netto,Place
FIN,8812,Matti Pentti,Otto Toivanen,HSK,1,2,-6,2,4,4,,19,13,1st
FIN,8632,Jari Hamström,Tuomas Laurila,KuoPs/EMK,-6,4,3,3,3,1,UK2,20,14,2nd
FIN,8466,Jukka Nieminen,Antti Salonen,SP/HYP,2,1,-7,7,7,2,,26,19,3rd
FIN,8923,Kenneth Thélen,Michael Wolontis,BS/NJK,-11,10,1,1,2,7,,32,21,4th
FIN,8678,Eino Laitinen,Thomas Castren,HSS,4,5,8,4,1,-10,,32,22,5th
FIN,8924,Raimo Raita,Juha Nurmela,Vene-71,3,9,2,6,-11,3,Maxit,34,23,6th
FIN,7784,Thomas Held,Timo Vennonen,BSS/HSK,7,6,5,5,-9,9,Piironki,41,32,7th
FIN,8659,Kira Maisniemi,Matti Dillemuth,HSK,5,8,9,8,-13,8,Lennart,51,38,8th
FIN,8736,Lauri Alitalo,Teemu Heljo,N,(15 OCS),3,12,10,5,11,,56,41,9th
FIN,7824,Erkka Ikonen,Maria Kuosa,TaPS/NJK,8,-11,10,9,8,6,,52,41,10th
FIN,8582,Anssi Kienanen,Kaarle Kauppinen,HSS/PSS,9,-12,11,12,12,5,,61,49,11th
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK/KoPu,10,7,4,(15 DNC),15 DNC,15 DNC,,66,51,12th
FIN,8620,Markus Wikar,Saku Sysiö,SSJ/HSK,13,-14,13,13,6,12,,71,57,13th
FIN,8873,Peltoniemi,Tapani Elovirta,HSK,12,13,-14,11,10,13,AT Ari,73,59,14th
