Nation,Sail number,Skipper,Crew,Club,Race 1,Points,Position
RSA,7722,I Gibbons,,,,,1
RSA,8584,N Milln,,,,,2
RSA,7457,Thomas Funke,Peter Funke,,,,3
RSA,8019,Stephan Kuhn,,,,,4
RSA,7682,Paul Willcox,Carl Herrmann,,,,5
RSA,8406,R Holm,,,,,6
RSA,8520,Phil Bennett,Mark Abbotts,,,,7
RSA,7290,T Murray,,,,,8
RSA,8537,Bob Crisp,,,,,9
RSA,8121,A Holm,,,,,10
RSA,7278,T Fisher,,,,,11
RSA,7525,Matthew McCrystal,Rob McCrystal,,,,12
