Nation,Boat no,Helm,crew,Club,Race 1,Points,Place
RSA,0,Graeme Willcox,Alan Haylett,,,,1
RSA,7682,Robbie Willcox,Ditmar Herrmann,,,,2
RSA,8584,Nigel Milne,Malcolm Muller,,,,3
RSA,7457,Phil Bennet,Karl Herrmann,,,,4
RSA,0,Rudolf Holm,Rick Shearar,,,,5
RSA,8121,Albrecht Holm,Christo Oosthuizen,,,,6
RSA,0,Tom Fisher,Tony Murray,,,,7
RSA,8537,Bob Crisp,,,,,8
RSA,0,Steve Hegerstroom,J Boy,,,,9
