Nation,Boat no,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
GER,8670,Hunger,Jess,,1,,1,,1,,10,1
SWE,8655,Bergstrom,Moss,,,1,,,,,14,2
DEN,8656,Schonherr,Boisen-Moller,,,,,,,1,19,3
GER,8550,Dietrich Scheder-Bieschin,?,,,,,,,,22,4
DEN,8620,Saugmann,Ramsbok,,,,,,,,22,5
GER,8659,Axel Oberemm,?,,,,,1,,,26,6
DEN,8622,Bojland,Friis,,,,,,,,28,7
GER,8663,Ulf Pleßmann,?,,,,,,,,37,8
GER,8575,Gosch,Meier,,,,,,,,38,9
GER,8634,Jörgen Thumann,?,,,,,,,,60,10
,,,,,,,,,,,,11
,,,,,,,,,,,,12
,,,,,,,,,,,,13
,,,,,,,,,,,,14
,,,,,,,,,,,,15
,,,,,,,,,,,,16
,,,,,,,,,,,,17
,,,,,,,,,,,,18
,,,,,,,,,,,,19
,,,,,,,,,,,,20
,,,,,,,,,,,,21
,,,,,,,,,,,,22
,,,,,,,,,,,,23
,,,,,,,,,,,,24
,,,,,,,,,,,,25
,,,,,,,,,,,,26
,,,,,,,,,,,,27
,,,,,,,,,,,,28
,,,,,,,,,,,,29
,,,,,,,,,,,,30
,,,,,,,,,,,,31
,,,,,,,,,,,,32
,,,,,,,,,,,,33
,,,,,,,,,,,,34
,,,,,,,,,,,,35
