Class,N. vel.,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
GER,9133,Frieder Achterberg,Wolfgang Stueckl,,1,1,-2,1,1,4,1
GER,9139,Penno Dirk,Tim Vogel,,-2,2,1,2,2,7,2
