Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Brutto,Netto,Place
USA,8854,Morgan Larson,Trevor Baylis,,3,1,1,1,3,11,3,23,,1
USA,8714,Mike Martin,Nick Nelson,,1,3,5,2,16,6,5,38,,2
USA,8714,Howard Hamlin,Mike Martin,NHYC,1,3,5,3,16,6,5,39,,3
USA,8680,Bruce Edwards,David Shelton,,5,4,2,9,10,21,23,74,,4
USA,8762,Daniel Thompson,Andrew Zinn,NHYC,12,5,3,14,5,17,DNC 80,136,,5
AUS,8796,Malcolm Higgins,Andrew Chisholm,,6,6,22,7,4,25,14,84,,6
GBR,8822,Mike Holt,Ian Godfrey,,2,2,18,19,20,19,7,87,,7
USA,8776,Alexander Meller,Pip Pearson,SEVER,DNC 80,18,7,22,9,10,2,148,,8
DEN,8826,Tom Bøjland,Christian Stormark,Farum,18,21,8,10,17,26,13,113,,9
AUS,8801,Peter Chappell,Ian Davidson,,7,DNC 80,11,42,11,1,20,172,,10
GER,8619,Jens Findel,Johannes Tellen,KYC,15,12,26,40,2,14,24,133,,11
USA,8631,Ryan Cox,Carl Smit,,17,16,15,16,31,5,32,132,,12
USA,8643,Barney Harris,Clayton James,,23,22,12,11,23,18,19,128,,13
AUS,8796,Malcolm Higgins,Andrew Chisholm,,10,11,13,24,21,57,27,163,,14
USA,8554,Doug Hagan,Stuart Park,,9,9,DNC 80,20,22,20,33,193,,15
USA,8829,Tyler Moore,Steve Sparkman,,35,42,31,28,6,15,4,161,,16
CAN,8264,Wayne Boyd,Schell,,22,24,9,6,15,44,51,171,,17
USA,8616,Dave Chatham,Graham Schelter,,30,26,20,15,19,16,49,175,,18
USA,8643,Barney Harris,Clayton James,,11,8,17,26,18,59,50,189,,19
USA,8838,Tom Philips,Andrew Estcourt,,29,20,23,8,40,46,15,181,,20
CAN,8681,Robin Brown,John Fry,,28,19,30,27,13,22,39,178,,21
USA,7875,Jeff Miller,Jeff Nelson,,8,13,25,39,38,DNC 80,17,220,,22
USA,8831,Kerry Poe,Paul Von Grey,,32,23,32,36,14,27,12,176,,23
USA,8841,Pegasus Kahn,Scott Allen,Pegasus,39,DNC 80,16,5,26,39,22,227,,24
USA,8012,Henry Amthor,Mike Smith,,21,17,28,29,24,64,30,213,,25
USA,8830,Knut Herbold,Drew Buttner,SCN,13,14,43,30,27,47,31,205,,26
CAN,8698,Chris Fowler,Andrew Fowler,,25,DNC 80,21,18,33,28,34,239,,27
USA,8823,Harvy Oswald,Rob Woelfel,,16,10,38,35,46,71,41,257,,28
DEN,8440,Per Larsen,Henrik Andersen,Farum,38,36,36,21,43,51,18,243,,29
AUS,8223,Steve Kennedy,Luke Patterson,,20,27,DNC 80,33,42,33,42,277,,30
AUS,8813,Brett Van Munster,Andrew Petch,GSC-A,24,DNC 80,34,31,39,43,28,279,,31
CAN,8192,Philip Cragg,David Cross,,36,29,29,41,45,23,64,267,,32
AUS,8785,Ian Burford,Wayne Boyd,,31,30,45,37,28,52,35,258,,33
USA,7156,Aaron Ross,Nicholas Hancock,,33,DNC 80,39,48,47,24,21,292,,34
FRA,8786,Hubert Guy,Pierre-Jean Gallo,,26,35,47,23,49,32,63,275,,35
AUS,8809,Leslie Nathanson,Richard Machin,,DNC 80,DNC 80,24,25,12,40,26,287,,36
USA,8715,Ethan Bixby,Erik Boothe,,DNC 80,DNC 80,6,16,DNC 80,7,9,278,,37
USA,6991,Bill Jenkins,Dan Merino,,47,25,51,32,36,29,DNC 80,300,,38
USA,8722,Macy Nelson,Jesse Falsone,WRSC,14,34,40,45,50,45,43,271,,39
USA,6992,Brad Wheeler,Bill Mais,,43,37,42,55,41,56,25,299,,40
GER,8751,Melanie Horstmann,Angela Stenger,HSC,42,43,56,49,25,34,52,301,,41
USA,8084,Flam,Rob Waterman,,41,33,33,53,37,66,48,311,,42
