Nation,Boat No,SKIPPER, CREW,CLUB,1,2,3,4,5,6,7,PTS,Overall
CAN,6910,Ian Eskritt,Ron Hughes,NSC,-2,1,2,2,1,1,2,8.25,1
CAN,0,John Curtis,Scott,KYC,4,2,-5,1,2,3,1,12.5,2
CAN,8442,Hugh Morrin,Michael Hoffman,BYC,1,3,1,-9,3,2,3,12.5,3
CAN,0,Erica Vines,Penny Estabrooks,BYC,-9,6,3,9,4,4,4,30,4
CAN,0,Robert Levy,Mike,LRYC,5,4,4,-9,9,9,9,40,5
CAN,8410,Clarissa Bush,Chris Gillies,BYC,3,5,6,-9,9,9,9,41,6
CAN,7796,Debbie Ashby,Dave Adams,BYC,7,7,7,-9,9,9,9,48,7
CAN,8233,Francois Bertrand,Alain Molimard,CNDM,6,8,8,-9,9,9,9,49,8
