,,Skipper,Crew,Settings (Saturday only),Race 1 (Sat.),Race 2 (Sat.),Race 3 (Sat.),Race 4 (Sat.),Race 5 (Sun.),Race 6 (Sun.),Race 7 (Sun.),Race 8 (Sun.),,Total,Placing
CAN,,Jeff Boyd,Justin Kitney,"25',2"" -  25',0"" Kicked up centerboard, jib leads pulled out max",1,1,1,1,1,1,3*,1,,5.25,1
CAN,,John Bryant,Ron Hughes,"25',0"" Kicked up centerboard, jib leads pulled out max, reefed mainsail",2,3,2,2,7*,4,3,3,,19,2
CAN,,Francois Bertrand,Alain Molimard," 25',2"" -  25',0"" Jib leads pulled out max",7*,2,3,5,2,1,5,2,,19.75,3
CAN,,Maurice Bond,Erika Vines, not recorded,3,4,4,3,4,5*,2,5,,25,4
CAN,,Debbie Ashby,Dave Adams," 25',4"" -  24',11"" Kicked up centerboard, jib leads pulled occaisonally",4,5,7,4,5,7*,4,4,,33,5
CAN,,Rob Braden,Michael Hoffman," 25',4"" -  25',0"" Kicked up centerboard, jib leads pulled out max",5,7,6,8*,3,2,6,7,,36,6
CAN,,Stephane Locas,Yan Locas, not recorded,6,6,5,8*,6,6,7,6,,42,7
CAN,,Peter Milan,Jennifer Witzel, not recorded,8,8,8,8,8,8,8,8*,,56,8
