Nation,Boat NO,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Drop,Netto,Place
CAN,7094,Philip Cragg,Todd Pearce,,5*,1,1,2,1,9,5,4,1
CAN,7039,Brown,Thomas,,1,4*,3,1,2,11,4,7,2
CAN,7111,Thomas,Reynolds,,3,3,7*,3,4,20,7,13,3
CAN,7553,Plumbsey,Burnard,,8*,2,6,5,3,24,8,16,4
CAN,7959,Salter,Jacobsen,,2,7*,2,7,6,24,7,17,5
CAN,7610,Des Brisay,Hansen,,4,6,4,4,10*,28,10,18,6
CAN,7206,Grimm,Cummings,,6,8*,5,6,8,33,8,25,7
CAN,7095,John Hayley,Winston Cummins,,7,5,8*,8,7,35,8,27,8
CAN,7249,Owen,Meade,,9,9,13*,13,5,49,13,36,9
CAN,8067,Michael Checkley,Bill Checkley,,11*,10,10,11,9,51,11,40,10
CAN,7089,Adrian Weaden,Drew Roberts,,12,14*,9,9,11,55,14,41,11
CAN,6498,Adrien Rootsaert,Dean Rootsaert,,10,12,11,12,14*,59,14,45,12
CAN,7607,Andrew Harlos,Peter Harlos,,14,13,16*,10,13,66,16,50,13
CAN,70941*,James Brown,Wayne Rootseart,,13,11,14*,14,12,64,14,50,14
CAN,5868,Andy Allen,Randy Beckler,,16*,16,12,16,15,75,16,59,15
CAN,8559,Paul Von Gray,Will Liston,,15,15,15,15,16*,76,16,60,16
CAN,5208,Welsh,Welsh,,17,17,19*,17,19,89,19,70,17
CAN,8068,Brian Trainor,Peter Ord,,18*,18,17,18,17,88,18,70,18
