Nation,Sail Number,Helm,Crew,Club,Race 1,Points,position
DEN,8727,Jorgen Schonherr,Anders Friis,KJS,1,,1
SWE,8232,Ebbe Rosén,Olle Wenrup,Mai Arhojd,2,,2
DEN,8656,Jan Moller,Jacob Bojsen Moller,HS,3,,3
SWE,8719,Jacob Lindval,Kalle Byrenius,NSS,4,,4
DEN,8620,Jan Saugmann,Morten Ramsbuk,HiS,5,,5
DEN,8474,Per Larsen,Henrik Andersen,Farum,6,,6
DEN,8622,Tom Bøjland,Jonas Christiansen,Farum,7,,7
DEN,8377,Anders Hoj Christensen,Peter Hoj Christensen,HVID,8,,8
DEN,8365,Martin Friederichsen,Jens Henrik Haahr,ASK,9,,9
DEN,8581,Jon Andersen,Lasse Andreasen,REESO,10,,10
