Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
FRA,4808,Nicholas Loday,Nicolas Fédorenko,CNBP,1,1,1,1,,,,0,1
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,CVP,2,2,2,,1,,,9,2
FRA,4915,François Fischer,Jacques Chouraki,CVP,,,,,,,,"34,4",3
FRA,4815,Philippe Blanchard,Blanchard,ACAL,,,,,,,,"34,7",4
FRA,4913,Christian Boillot,Alain de Roux,SRR,,,,,,,,46,5
FRA,5003,Pfaadt,Ziegelmeyer,ACAL,,,,,,,,"47,7",6
FRA,4666,Blanchard,Jacques Baptiste Lebrun,CVP,,,,,,,,"55,7",7
FRA,4904,Pierre Bretèche,Le Soudeer,SNO,,,,,,,,57,8
FRA,4891,F. Souvestre,Lepage,SNO,,,,,,,,57,9
FRA,4702,Cassou,Kergreis,CVP,,,,,,,,"57,7",10
FRA,4603,Jean Thobie,Patrick Ricci,CNBP,,,,,,,,"62,7",11
FRA,4356,Jacques Lefèvre,Michel Lefèvre,CNLT,,,,,,,,71,12
FRA,4431,Christian Hauvette,Philippe Craplet,CVP,,,,,,,,73,13
FRA,2767,Skalski,Skalski,ARC,,,,,,,,91,14
FRA,4701,Lecerf,Gueulette,CNC,,,,,,,,92,15
FRA,4801,Ducos,Leclerco,SVN,,,,,,,,94,16
FRA,1*,Levesoue,Guezou,SNO,,,,,,,,"102,4",17
FRA,4199,Jacques Collaert,Yves Moreau-Defarges,CVP,,,,,,,,"102,7",18
FRA,5062,Jean-Pierre Bouvet,J.L. Mahe,CNBP,,,,,,,,117,19
FRA,4368,Gilbert Vinches,François Padovani,YCD,,,,,,,,121,20
FRA,5011,Judic,Judic,CNBP,,,,,,,,121,21
FRA,4654,Patrick Nicolas,Bujeau,CNBP,,,,,,,,125,22
FRA,2845,Herfort,Mandoff,CVESO,,,,,,,,128,23
FRA,4009,Audren,Trichereau,SNS,,,,,,,,130,24
FRA,4900,Roland Banel,Serge Banel,CVP,,,,,,,,145,25
FRA,5064,Bastier,Bastier,CNLT,,,,,,,,146,26
FRA,3694,Lévesque,Lallemand,SNO,,,,,,,,169,27
FRA,4664,Boudier,Boudier,CVP,,,,,,,,171,28
FRA,5024,Robert Comte,Jeger,YCP,,,,,,,,172,29
FRA,276,Reliquet,Garbaccio,CNBP,,,,,,,,176,30
FRA,4399,Duhau,Grimbert,CVP,,,,,,,,183,31
FRA,4332,Drianno,Robin,SNO,,,,,,,,189,32
FRA,4803,Guyot,Latrace,CVP,,,,,,,,196,33
FRA,4573,Fayein,Fayein,CVP,,,,,,,,202,34
FRA,3199,Hertel,Hertel,CVSP,,,,,,,,205,35
FRA,5033,Jacques Armengaud,Philippe Hoffmann,CVP,,,,,,,,224,36
FRA,5029,Conan,Jestin,YCT,,,,,,,,224,37
FRA,5023,Pillon,Pillon,CVC,,,,,,,,224,38
FRA,5013,Pierre Beauvais,Forestier,CNVC,,,,,,,,224,39
FRA,5009,Michaud,,,,,,,,,,224,40
FRA,4970,Robert Leibovitch,Piquier,CNVC,,,,,,,,224,41
FRA,4924,Jacques Amiot,Gilles Bisson,YCD,,,,,,,,224,42
FRA,4622,Chaplain,J. C. Bréard,CNP,,,,,,,,224,43
