Country,Sail Number,Helm,Crew,Club,R1 27 Jul,R2 27 Jul,R3 29 Jul,R4 29 Jul,R5 29 Jul,R6 29 Jul,R7 30 Jul,R8 30 Jul,R9 30 Jul,Tally Penalty,Total,Nett,Rank
USA,9072,Mike Holt,Rob Woelfel,Santa Cruz YC,1,2,(3.0),(3.0),3,2,1,1,1, ,17,11,1st
GBR,9180,Nathan Batchelor,Sam Pascoe,Tynemouth SC,(4.0),1,1,2,(4.0),1,4,2,2, ,21,13,2nd
GBR,9190,Ian Pinnell,Daniel Cripps,HISC,3,(12.0),5,(11.0),1,11,2,3,3, ,51,28,3rd
GBR,9177,Thomas Gillard,Harry Briddon,Sheffield Viking SC,(11.0),3,4,5,(8.0),4,3,6,5, ,49,30,4th
GBR,9088,Andy Smith,Roger Gilbert,Notts County SC,6,5,2,1,7,5,(11.0),(9.0),7, ,53,33,5th
GBR,9174,Mark Upton-Brown,Ian Mitchell,HISC/Bosham,7,6,9,(20.0),2,8,(17.0),5,6, ,80,43,6th
GBR,9178,Chris Lewns,Jarrod Simpson,RYA,9,(30.0 DNC),(15.0),7,5,12,8,7,8, ,101,56,7th
USA,8854,Craig Thompson,Jeff Nelson,Unoffiliated,(12.0),8,7,10,11,9,10,4,(30.0 DNC), ,101,59,8th
GBR,9085,Charles Walter,Dougal Cram,Datchet S C,13,7,(14.0),9,10,6,9,8,(30.0 DNC), ,106,62,9th
GBR,9136,Stewart Mears,Richard Tucker,RCYC,5,11,16,(24.0),12,(21.0),6,11,4, ,110,65,10th
GBR,9124,Matt Hart,Christian Diebitsch,Shotley Sailing Club,2,10,11,6,6,7,(30.0 DNC),(30.0 DNC),30.0 DNC, ,132,72,11th
GBR,8963,Martin Hodgson,Adrian Miles,Stone Sailing Club,(30.0 DNC),(30.0 DNC),6,15,13,3,13,13,14, ,137,77,12th
GBR,9179,Tudor Owen,Tom Brunton,WHITSTABLE,(19.0),9,12,16,15,(20.0),5,10,11, ,117,78,13th
GBR,9158,Ben Iliffe,Paddy Lewis,Datchet Water SC,14,(17.0),(19.0),8,9,10,12,14,9,3,115,79,14th
AUS,9134,Michael Quirk,Curtis Hartmann,RPEYY,(30.0 DNC),4,10,4,14,13,7,(30.0 DNC),30.0 DNC, ,142,82,15th
GBR,9142,Ian Montague,Jeremy White,Marconi SC,(20.0),13,(21.0),12,16,15,14,12,10,3,136,95,16th
GBR,9126,Stuart Turnbull,Rich Nurse,Burton S C,17,18,13,19,20,(25.0),(22.0),17,12, ,163,116,17th
FRA,9050,de Kergariou Herve,de Kergariou Guillaume,Club nautique Arradon,18,14,(23.0),17,(23.0),19,19,18,13, ,164,118,18th
GBR,9032,Jim Blyth,Darrel Samanjoel,Largo Bay Sailing Club,8,16,24,(26.0),17,22,15,19,(30.0 DNC), ,177,121,19th
GBR,9125,Roger Deane,Tim Williamn,Rock SC,10,19,22,22,(26.0),16,18,16,(30.0 DNC), ,179,123,20th
USA,7771,Ancelot Jean Claude,Leroy Riwanon,ASNQ,15,15,27,14,22,14,20,(30.0 DNF),(30.0 DNC), ,187,127,21st
GBR,9159,Mark Weston,Andy Weatherspoon,West Riding,(30.0 DNC),(30.0 DNC),18,13,25,17,21,15,30.0 DNC, ,199,139,22nd
RSA,8905,Graeme Willcox,Matt Alvarado,Netley Sailing Club,(30.0 DNC),(30.0 DNC),8,18,18,24,30.0 DNC,30.0 DNC,30.0 DNC, ,218,158,23rd
GBR,8650,Terry Selfe,Alan Montague,Stone Sailing Club,16,(30.0 DNC),20,23,21,18,(30.0 DNC),30.0 DNC,30.0 DNC,3,221,161,24th
GBR,8384,Steve Culpitt,Mark Nicholson,HISC,(30.0 DNC),(30.0 DNC),25,25,19,26,16,30.0 DNF,30.0 DNC, ,231,171,25th
GBR,907,Robin Brown,Ian Godrey, ,(30.0 DNC),(30.0 DNC),17,21,24,23,30.0 DNC,30.0 DNC,30.0 DNC, ,235,175,26th
FRA,9150,de Kergariou Anne Marie,Pousset Stephane,Club Nautique Carantec,(30.0 DNC),(30.0 DNC),28,28,27,27,30.0 DNC,30.0 DNC,30.0 DNC, ,260,200,27th
GBR,8165,Chris Doe,Peter Doe,TISC,(30.0 DNC),(30.0 DNC),26,27,30.0 DNC,30.0 DNC,30.0 DNC,30.0 DNC,30.0 DNC, ,263,203,28th
GBR,8055,Gary Fowler,Mark Fowler,Hunts sc,(30.0 DNC),(30.0 DNC),30.0 DNC,30.0 DNC,30.0 DNC,30.0 DNC,30.0 DNC,30.0 DNC,30.0 DNC, ,270,210,29th
