Nation,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,Pts,Rank
GBR,9180,Chris Turner,Sam Pascoe,Lyme Regis SC,1,1,1,1,1,3,3,(DNC),11,1
GBR,9190,Ian Pinnell,Tim Needham,NSC,2,4,3,-5,2,1,2,1,15,2
RSA,9177,Tom Willward,Harry Briddon,Sheffield Viking SC,-5,3,4,2,3,2,5,5,24,3
GBR,8905,Graeme Willcox,James Spikesley,Netley Sailing Club,3,2,-5,4,4,4,4,3,24,4
GBR,9085,Charlie Walters,Dougal Cram,Datchet Water SC,4,-7,2,3,7,5,1,7,29,5
GBR,8881,Neil Rabbitts,Mike Priddle,Burton SC,8,-9,7,8,5,6,7,9,50,6
GBR,8514,Toby Barsley-Dale,Rich Nurse,HISC BSC,-10,8,9,6,6,8,6,8,51,7
GBR,9126,Stuart Turnbull,Paul Michael,Burton SC,-9,6,8,7,9,7,8,6,51,8
GBR,9032,Jim Blyth,Darel Sallarool,Largo Bay SC,7,5,10,9,10,-11,11,2,54,9
GBR,9104,Adam Kenney,Ian Merryfield,Burton SC,6,-10,6,10,8,10,10,4,54,10
GBR,8511,Alex Shaw,Neil Smith,Grafham Water Sailing Club / Manor Park,11,11,11,11,11,9,9,(DNC),73,11
GBR,7387,Jon Cowper,Loise Foreman,Hunts SC,13,13,13,12,12,13,(UFD),10,86,12
GBR,8432,Matthew Palett,Andy Spencer,Burton Sailing Club,12,12,12,(DNC),13,12,DNC,DNC,91,13
GBR,9158,Ben Iliffe,Paddy Lewis,Datchet Water SC,(DNC),DNC,DNC,DNC,DNC,DNC,DNC,DNC,105,14
