Nation,Sail No.,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Gross Pts,Nett Pts,Place
GBR,8269,P. Towers,,,3,-10,3,2,"0,75",19,9,1
GBR,8306,C. Robinson,,,"0,75","0,75",-8,6,2,"17,5","9,5",2
GBR,7852,C. Haworth,,,2,3,"0,75",4,-14,24,10,3
GBR,8240,I. Pinnell,,,-11,4,4,"0,75",5,25,14,4
GBR,8244,M. Holt,,,8,5,-46,7,4,70,24,5
GBR,8331,R. Lord,,,-23,11,2,9,3,48,25,6
GBR,8323,John Loveday,,,6,2,9,8,-25,50,25,7
GBR,8049,I. Walters,,,4,9,-50,5,7,75,25,8
GBR,8308,K. Sprool,,,9,12,-15,12,6,54,39,9
GBR,8303,C. Bailey,,,14,17,7,(35.00,9,82,47,10
GBR,8245,David Peacock,,,15,19,-20,3,12,69,49,11
GBR,8314,M. Lawton,,,5,16,-29,16,13,79,50,12
GBR,8241,J. Turner,,,10,14,10,-30,22,86,56,13
GBR,8080,John McLaren,,,16,8,17,18,-19,78,59,14
GBR,7919,M. Jaques,,,-22,13,14,20,16,85,63,15
GBR,8251,David Smithwhite,,,18,-28,6,25,15,92,64,16
GBR,7565,M. Murley,,,26,-31,12,11,17,97,66,17
GBR,7938,D. Hall,,,13,7,23,24,-28,95,67,18
GBR,8206,Ian Montague,,,-85,20,26,15,11,157,72,19
GBR,6933,C. Smith,,,-84,18,16,22,18,158,74,20
GBR,8316,M. Thornton,,,20,6,24,-84,27,161,77,21
GBR,8140,P. Walker,,,7,29,-45,21,23,125,80,22
GBR,8029,D. Wood,,,17,24,-35,17,29,122,87,23
GBR,8215,H. Cisneros,,,21,21,11,-84,35,172,88,24
GBR,8287,G. Langdown,,,28,-43,31,13,21,136,93,25
GBR,8217,A. Partington,,,19,25,38,14,-88,184,96,26
GBR,8129,Nick Martin,,,33,23,5,36,-84,181,97,27
GBR,8310,Steve Arkley,,,24,39,-43,27,10,143,100,28
GBR,8051,E. Cooper,,,25,27,22,-28,26,128,100,29
GBR,8152,D. Hitchcock,,,40,-40,13,33,20,146,106,30
GBR,8283,C. Haslet,,,34,-88,21,19,34,196,108,31
GBR,7265,I. Stewart,,,31,15,41,23,-49,159,110,32
GBR,8231,V. Ralston,,,29,22,19,46,-84,200,116,33
GBR,7836,S. Brewer,,,56,-85,47,10,8,206,121,34
GBR,8315,P. Walters,,,-42,30,34,26,36,168,126,35
