Country,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Place
AUS,8271,Geoff Kyrwood,Paul Campbell,NSW,3,,,,,,,,1
AUS,8273,Simon Burt,,NSW,4,,,,,,,,
AUS,8275,Sandy Higgins,,SA,6,,,,,,,,
AUS,8281,Neil Long,,NSW,9,,,,,,,,
AUS,8091,David Porter,,NSW,1,,,,,,,,
AUS,7486,Steve Walker,,TAS,10,,,,,,,,
AUS,7986,Phil Darby,,NSW,,,,,,,,,
AUS,7481,Dean Blatchford,,NSW,8,,,,,,,,
AUS,8279,Terry Kyrwood,,NSW,1,,,,,,,,
AUS,8280,Michael Quirk,,,,,,,,,,,
AUS,8291,Ian Barker,,NSW,5,,,,,,,,
AUS,8040,Mark Soulsby,,SA,7,,,,,,,,
AUS,7515,Grant Geddes,,,,,,,,,,,
AUS,8282,Stephen McConaghy,,NSW,9,,,,,,,,
