Nation,Sail No.,Skipper,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total Points,After Drop,Place
USA,7771,Hamlin,Martin,,1,2,1,3,1,1,DNS (35),43,5,1
USA,8629,Moore,Ikle,,2,4,6,1,5,2,1,20.5,14.5,2
USA,8263,Meller,Johnson,,8,1,4,4,2,5,8,31.75,23.75,3
USA,8083,Fowler,Dyson,,3,3,10,5,3,6,5,35,25,4
CAN,8264,Boyd,TenHove,,5,7,3,2,11,4,35,72,37,5
USA,7318,Zani,Alarie,,4,8,5,6,6,35,4,68,33,6
CAN,7039,Robin Brown,Edwards,,7,5,7,7,4,7,35,72,37,7
USA,8610,Trotman,Mills,,12,6,2,35,9,3,6,73,38,8
USA,8012,Amthor,Elliott,,11,9,9,8,7,10,10,64,53,9
USA,7346,Englert,Melton,,10,12,8,35,10,13,3,91,56,10
USA,8060,Collins,Smith,,9,11,13,21,8,11,11,84,63,11
USA,8194,Kivney,Russell,,13,13,11,10,18,17,7,89,71,12
CAN,8192,Brook Hamilton,Brox,,14,10,15,11,16,9,12,87,71,13
USA,8191,Nelson,Mendelblatt,,6,14,35,35,13,8,2,113,78,14
CAN,8442,Morrin,Yates,,16,17,14,9,17,15,15,103,86,15
NZL,8*,Heads,Ryan,,21,16,17,12,19,16,9,110,89,16
CAN,8260,Moss Loveshin,Loveshin,,35,21,12,13,20,12,13,126,91,17
USA,7685,Alexander,Koneig,,20,15,16,14,26,23,23,137,111,18
USA,7772,Harris,Smith,,18,29,35,17,15,14,18,146,111,19
USA,6311,Chris Museler,Ross,,29,18,18,35,14,22,14,150,115,20
USA,7684,Kaiser,Badtke,,24,23,26,15,21,18,16,143,117,21
CAN,7798,Margaret Hurley,Mike Hoffman,,15,22,20,20,24,26,21,148,122,22
CAN,7605,Renka Gesing,Adam Gesing,,17,20,23,35,27,20,20,162,127,23
CAN,6910,Bryant,Hughes,,23,24,35,23,12,27,19,163,128,24
USA,7606,Treadwell,McKay,,19,27,22,35,28,24,25,180,145,25
USA,7790,Stetson,Agrell,,27,31,21,18,34,21,28,180,146,26
CAN,8417,Malcolm McHattie,Ptak,,22,26,24,35,25,25,24,181,146,27
USA,8085,de la Rie,Richard,,26,19,35,35,23,19,26,183,148,28
USA,7151,Tapley,Arnold,,35,30,19,16,30,30,35,195,160,29
CAN,7095,John Hayley,Steenbakker,,32,28,25,19,22,35,35,196,161,30
CAN,7796,Bush,Gillies,,25,25,27,35,32,32,22,198,163,31
ZIM,8438,John Wyles,Seguin,,30,33,28,35,33,28,17,204,169,32
USA,8015,Monty Schumpert,Craig Schumpert,,28,34,29,22,31,31,29,204,170,33
CAN,7612,Rose,Estabrooks,,31,32,30,35,29,29,27,213,178,34
