Nation,Sail #,Skipper,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Poistion
CAN,5606,Brent Beninger,Ali Meller,,1,3,1,1,2,8,1
CAN,7796,Ian Torrie,David Adams,,5,2,3,2,1,13,2
CAN,7798,Hurley,Penney,,4,1,2,5,4,16,3
CAN,8442,Lovshin,Moss,,3,6,4,4,3,20,4
CAN,6910,Marious Rzuciblo,Ron Hughes,,2,4,7,3,7,23,5
CAN,8260,Dave Bradly,Steve Lovshin,,6,5,5,6,7,29,6
