Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,Place
CAN,8442,Hugh Morrin,Marius Rzucidlo,,1,1,3,1,1,2,2,8,1
CAN,8233,François-Xavier Bertrand,Alain Molimard,,2,2,6,4,2,1,1,12,2
CAN,6910,John Bryant,Ron Hughes,,3,3,1,2,8,4,3,16,3
CAN,8260,Moss Lovshin,Lovshin,,8,4,2,5,3,3,10 DNF,25,4
CAN,7796,Ashby,Adams,,4,5,4,6,5,5,4,27,5
CAN,7950,Louis Samson,Dumouchel,,7,9,8,7,4,6,6,38,6
CAN,6201,Bernard Péro,Molimard,,5,6,7,8,6,8,7,39,7
CAN,7790,Desjardins,Desjardins,,6,8,9,9,7,7,5,42,8
CAN,7798,Marg Hurley,William Penney,,10 DNS,7,5,3,10 DNS,10 DNS,10 DNS,45,9
