Country,Sail NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Place
CAN,,Ian Plumbley,Mark Cummins,,,,,,,15,1
CAN,,John Hayley,Winston Cummins,,,,,,,16,2
CAN,,Cynthia Des Brisay,Charles Hansen,,,,,,,19,3
CAN,,Phil Cragg,David Cross,,,,,,,24,4
CAN,,Andrew Allen,Randy Beckler,,,,,,,42,5
CAN,,James Brown,Stephen Lovshin,,,,,,,51,6
CAN,,Paul Von Grey,Chris Lofgren,,,,,,,55,7
CAN,,Stuart Sinclair,Iain Sinclair,,,,,,,62,8
CAN,,Brain Trainor,Peter Ord,,,,,,,63,9
CAN,4424,Tibor Kamon,Miklos Baranszky,,,,,,,79,10
