Nation,Sail No,Helsman,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Place
GER,9230,Wolfgang Hunger,Holger Jess,,1,1,-3,1,1,4,1
GER,9169,Tim Böger,Finn Böger,,-5,5,1,2,2,10,2
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,,4,3,2,-5,3,12,3
DEN,9187,Jan Saugmann,Christian Limbrecht Mogensen,,3,2,7,(31 DNS),4,16,4
SWE,9029,Tomas Grundel,Johan Strömdahl,,-10,7,6,7,6,26,5
GER,9135,Jens Biederer,Jan Reifferscheidt,,7,8,-10,4,10,29,6
SWE,8974,Malin Broberg,Johan Röök,,6,6,8,-10,9,29,7
GER,8849,Henrik Schade,Sebastian Wiemer,,-15,9,14,3,7,33,8
SWE,8694,Tomas Berg,Urban Lagnéus,,8,10,4,-18,13,35,9
SWE,9038,Mikael Gustavsson,Tore Reinhold,,11,-20,5,11,12,39,10
SWE,8962,Peter Bökmark,Martin Persson,,(31 DNF),4,13,19,8,44,11
SWE,8923,Lars Hultgren,Axel Hultgren,,12,15,(31 DNF),8,14,49,12
SWE,9002,Per Wester,Lars Wester,,16,14,11,12,(31 DNF),53,13
SWE,9013,Anders Nilsson,Jacob Reuterskiöld,,17,13,(31 DNF),21,5,56,14
SWE,8787,Anders Johansson,Anders Barne,,18,-22,9,15,17,59,15
FRA,9014,Alain Dupuis,Patric Wollmersson,,-20,16,15,13,15,59,16
SWE,8837,Petter Norrgren, Anders Hellekant,,13,12,(31 DNF),31 DNS,11,67,17
SWE,8585,Paul Gaskell-Brown,Otto Berg,,-21,17,17,17,16,67,18
SWE,8586,Galen Mack,Colin Treseler,,9,24,(31 DNF),6,31 DNF,70,19
SWE,9222,Tomas Franzén,Gustav Franzén,,24,25,12,9,(31 DNF),70,20
SWE,8848,Johannes Prison,Johan Calvert,,23,18,16,16,(31 DNF),73,21
SWE,8926,Ebbe Rosén,Olle Wenrup,,2,11,(31 DNF),31 DNS,31 DNS,75,22
SWE,8917,Jesper Fowelin,Erik Wallmark,,(31 DNF),19,18,14,31 DNS,82,23
SWE,9143,Thomas Lundberg,Oskar Lundberg,,14,23,(31 DNF),31 DNS,31 DNF,99,24
SWE,8900,Mats Bylander,Jonas Palmkvist,,22,26,(31 DNF),20,31 DNF,99,25
SWE,9107,Julia Wännerdahl,Sven Flood,,(31 DNF),27,31 DNF,31 DNS,18,107,26
SWE,9117,Fredrik Molander,Tomas Jaxing,,19,(31 DNF),31 DNF,31 DNS,31 DNS,112,27
SWE,9201,Peter Fogelberg,Mattias Behnke,,(31 DNF),21,31 DNF,31 DNS,31 DNS,114,28
SWE,8257,Lars Magnusson,Jörgen Källström,,(31 DNF),28,31 DNF,31 DNS,31 DNF,121,29
SWE,8581,Viktor Wecke,Malin Malmberg,,(31 DNF),31 DNF,31 DNF,31 DNS,31 DNS,124,30
